N,field_name,classification,primary_evidence,dealias_pseudo_spectral_product,field_rms,field_max_abs,finite_all,nonzero_operator,fd_adv_l2,pseudo_spectral_adv_l2,diff_l2,relative_l2_error_vs_pseudo_spectral,fd_adv_max_abs,pseudo_spectral_adv_max_abs,diff_max_abs,cosine_similarity,primary_field_quality
64,single_mode_k2_2,near_null_reference,False,False,0.005,0.01,PASS,FAIL,2.6030621162235434e-20,4.2859358782583806e-20,3.2487810757378105e-20,0.7580097248347016,1.3383120566617945e-19,2.693564772268675e-19,1.6432439176733427e-19,0.6539024468067242,PASS
64,low_mode_pair,low_k_nonlinear,True,False,0.00625,0.016594684928137097,PASS,PASS,2.8469621541444396e-06,2.9646353064078514e-06,1.3406559281863726e-07,0.04522161377787814,7.426523344674285e-06,7.771230112051888e-06,3.88998896446783e-07,0.9997555383637141,PASS
64,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,False,0.01,0.031829093294364445,PASS,PASS,2.3579183883252408e-05,2.4422000796351023e-05,9.270959223275911e-07,0.037961505695557576,9.001152129818103e-05,9.267948178443831e-05,3.3691408847891943e-06,0.9998704816526539,PASS
64,higher_smooth_multimode,higher_smooth_nonlinear,True,False,0.01,0.02745625891934577,PASS,PASS,1.132540669492105e-05,1.2852469912898224e-05,2.129457985625387e-06,0.16568472830956393,3.016581305525758e-05,3.4654786863227974e-05,6.486055178199851e-06,0.9924337813208385,PASS
128,single_mode_k2_2,near_null_reference,False,False,0.005,0.01,PASS,FAIL,6.015584764359176e-20,8.803602144450858e-20,5.840994076681632e-20,0.6634777425015014,2.761327408049019e-19,4.692562527788824e-19,3.1933142111487123e-19,0.7512768089113883,PASS
128,low_mode_pair,low_k_nonlinear,True,False,0.0062499999999999995,0.016630983846194745,PASS,PASS,2.9349563673906885e-06,2.9646353064078543e-06,3.3657196516153765e-08,0.011352896069005877,7.700487289405303e-06,7.786866011644093e-06,9.910529527144428e-08,0.9999855209012486,PASS
128,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,False,0.01,0.031829093294364445,PASS,PASS,2.4209407758541943e-05,2.442200079635103e-05,2.332277431520599e-07,0.009549903183481478,9.342288398170748e-05,9.414725486653648e-05,8.580990797496581e-07,0.9999922202941273,PASS
128,higher_smooth_multimode,higher_smooth_nonlinear,True,False,0.010000000000000002,0.02745625891934577,PASS,PASS,1.2446454399035693e-05,1.285246991289823e-05,5.426692079278638e-07,0.042222951044083946,3.350951067849792e-05,3.46547868632259e-05,1.663954309573558e-06,0.9995947891749757,PASS
64,single_mode_k2_2,near_null_reference,False,True,0.005,0.01,PASS,FAIL,2.6030621162235434e-20,2.537019963475071e-20,2.422810957359108e-20,0.9549830085059615,1.3383120566617945e-19,1.021277871256787e-19,9.911006317665174e-20,0.5559030048220617,PASS
64,low_mode_pair,low_k_nonlinear,True,True,0.00625,0.016594684928137097,PASS,PASS,2.8469621541444396e-06,2.964635306407852e-06,1.3406559281863803e-07,0.04522161377787838,7.426523344674285e-06,7.771230112051671e-06,3.8899889644676437e-07,0.9997555383637141,PASS
64,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,True,0.01,0.031829093294364445,PASS,PASS,2.3579183883252408e-05,2.442200079635103e-05,9.270959223275938e-07,0.03796150569555768,9.001152129818103e-05,9.267948178443887e-05,3.369140884789079e-06,0.9998704816526539,PASS
64,higher_smooth_multimode,higher_smooth_nonlinear,True,True,0.01,0.02745625891934577,PASS,PASS,1.132540669492105e-05,1.2852469912898227e-05,2.1294579856253886e-06,0.16568472830956402,3.016581305525758e-05,3.46547868632274e-05,6.486055178200085e-06,0.9924337813208381,PASS
128,single_mode_k2_2,near_null_reference,False,True,0.005,0.01,PASS,FAIL,6.015584764359176e-20,4.431590641861804e-20,5.661999039397647e-20,1.2776448677170513,2.761327408049019e-19,2.5636941904323993e-19,2.322769174039618e-19,0.4457851199395409,PASS
128,low_mode_pair,low_k_nonlinear,True,True,0.0062499999999999995,0.016630983846194745,PASS,PASS,2.9349563673906885e-06,2.964635306407855e-06,3.365719651615471e-08,0.011352896069006194,7.700487289405303e-06,7.78686601164377e-06,9.910529527089371e-08,0.9999855209012486,PASS
128,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,True,0.01,0.031829093294364445,PASS,PASS,2.4209407758541943e-05,2.4422000796351037e-05,2.332277431520648e-07,0.009549903183481676,9.342288398170748e-05,9.414725486653667e-05,8.580990797498004e-07,0.9999922202941274,PASS
128,higher_smooth_multimode,higher_smooth_nonlinear,True,True,0.010000000000000002,0.02745625891934577,PASS,PASS,1.2446454399035693e-05,1.2852469912898234e-05,5.426692079278667e-07,0.042222951044084155,3.350951067849792e-05,3.465478686322687e-05,1.6639543095731582e-06,0.9995947891749756,PASS
