N,field_name,classification,primary_evidence,method,input_l2,output_l2,output_to_input_l2_ratio,output_max_abs,output_energy,output_enstrophy,finite_output,real_output,input_w_unchanged,solver_w_unchanged,metadata_method_ok,metadata_rhs_method_ok,metadata_step_method_ok,metadata_step_status_ok,metadata_variant_ok,metadata_baseline_ok,metadata_run_disabled_ok,metadata_no_turbulence_claim,metadata_no_k_minus_3_claim,run_disabled,no_explosive_one_step_growth,overall_result
,global,global,False,global,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A,PASS
64.0,single_mode_k2_2,controlled_single_mode_reference,False,fd_centered,0.005,0.005024799504,1.0049599007999999,0.010049599008,1.5780381284624154e-06,1.2624305027699322e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,single_mode_k2_2,controlled_single_mode_reference,False,pseudo_spectral,0.005,0.005024799504,1.0049599007999999,0.010049599008,1.5780381284624154e-06,1.2624305027699322e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,single_mode_k2_2,controlled_single_mode_reference,False,arakawa,0.005,0.005024799504,1.0049599007999999,0.010049599008,1.5780381284624154e-06,1.2624305027699322e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,low_mode_pair,low_k_nonlinear,True,fd_centered,0.00625,0.006269745120475607,1.003159219276097,0.016640140651184618,2.281092819478669e-06,1.9654851937863844e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,low_mode_pair,low_k_nonlinear,True,pseudo_spectral,0.00625,0.006269745120474147,1.0031592192758636,0.016640140651184996,2.2810928194779535e-06,1.9654851937854693e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,low_mode_pair,low_k_nonlinear,True,arakawa,0.00625,0.006269745120474147,1.0031592192758636,0.016640140651187043,2.2810928194779535e-06,1.9654851937854693e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,fd_centered,0.01,0.010016891413785632,1.0016891413785631,0.03187630196093616,5.081005135577911e-06,5.016905679778616e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,pseudo_spectral,0.01,0.010016891413765919,1.0016891413765918,0.031876301993817927,5.081005135569791e-06,5.016905679758869e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,arakawa,0.01,0.010016891413765928,1.0016891413765927,0.0318763008676063,5.081005135569793e-06,5.016905679758879e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,higher_smooth_multimode,higher_smooth_nonlinear,True,fd_centered,0.01,0.009997969950134827,0.9997969950134827,0.027450493744857838,1.2687567985853e-06,4.997970156189949e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
64.0,higher_smooth_multimode,higher_smooth_nonlinear,True,pseudo_spectral,0.01,0.009997969950105864,0.9997969950105864,0.027450493741178403,1.2687567985841963e-06,4.997970156160992e-05,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
