N,field_name,classification,primary_evidence,method_a,method_b_reference,method_a_l2,method_b_l2,diff_l2,diff_max_abs,relative_error_vs_method_b,cosine_similarity,method_a_energy,method_b_energy,energy_diff_a_minus_b,energy_abs_diff,method_a_enstrophy,method_b_enstrophy,enstrophy_diff_a_minus_b,enstrophy_abs_diff,positive_alignment,no_large_pairwise_disagreement,pairwise_result
64,single_mode_k2_2,controlled_single_mode_reference,False,pseudo_spectral,fd_centered,0.005024799504,0.005024799504,4.3898211921527644e-24,3.078799165599128e-23,8.736311147655225e-22,1.0000000000000002,1.5780381284624154e-06,1.5780381284624154e-06,0.0,0.0,1.2624305027699322e-05,1.2624305027699322e-05,0.0,0.0,PASS,PASS,PASS
64,single_mode_k2_2,controlled_single_mode_reference,False,arakawa,fd_centered,0.005024799504,0.005024799504,4.2773516109661935e-24,3.4024436176758134e-23,8.5124821548824e-22,1.0000000000000002,1.5780381284624154e-06,1.5780381284624154e-06,0.0,0.0,1.2624305027699322e-05,1.2624305027699322e-05,0.0,0.0,PASS,PASS,PASS
64,single_mode_k2_2,controlled_single_mode_reference,False,arakawa,pseudo_spectral,0.005024799504,0.005024799504,4.3704398762151565e-24,3.5451579835121884e-23,8.69773982571058e-22,1.0000000000000002,1.5780381284624154e-06,1.5780381284624154e-06,0.0,0.0,1.2624305027699322e-05,1.2624305027699322e-05,0.0,0.0,PASS,PASS,PASS
64,low_mode_pair,low_k_nonlinear,True,pseudo_spectral,fd_centered,0.006269745120474147,0.006269745120475607,6.718739756048249e-10,1.9491531366364057e-09,1.0716129008348878e-07,0.9999999999999941,2.2810928194779535e-06,2.281092819478669e-06,-7.153193239562566e-19,7.153193239562566e-19,1.9654851937854693e-05,1.9654851937863844e-05,-9.151343962135461e-18,9.151343962135461e-18,PASS,PASS,PASS
64,low_mode_pair,low_k_nonlinear,True,arakawa,fd_centered,0.006269745120474147,0.006269745120475607,3.7689169571538357e-10,8.688104020870546e-10,6.011276191826974e-08,0.9999999999999982,2.2810928194779535e-06,2.281092819478669e-06,-7.153193239562566e-19,7.153193239562566e-19,1.9654851937854693e-05,1.9654851937863844e-05,-9.151343962135461e-18,9.151343962135461e-18,PASS,PASS,PASS
64,low_mode_pair,low_k_nonlinear,True,arakawa,pseudo_spectral,0.006269745120474147,0.006269745120474147,4.4059146425869494e-10,1.1395132003787223e-09,7.027262764158032e-08,0.9999999999999978,2.2810928194779535e-06,2.2810928194779535e-06,0.0,0.0,1.9654851937854693e-05,1.9654851937854693e-05,0.0,0.0,PASS,PASS,PASS
64,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,pseudo_spectral,fd_centered,0.010016891413765919,0.010016891413785632,4.641356881240094e-09,1.6861891168062915e-08,4.633530193661159e-07,0.9999999999998926,5.081005135569791e-06,5.081005135577911e-06,-8.119657832379723e-18,8.119657832379723e-18,5.016905679758869e-05,5.016905679778616e-05,-1.9746709692750053e-16,1.9746709692750053e-16,PASS,PASS,PASS
64,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,arakawa,fd_centered,0.010016891413765928,0.010016891413785632,2.5821358115394705e-09,7.689350246808946e-09,2.577781574017899e-07,0.9999999999999665,5.081005135569793e-06,5.081005135577911e-06,-8.117963766485214e-18,8.117963766485214e-18,5.016905679758879e-05,5.016905679778616e-05,-1.9737222923740805e-16,1.9737222923740805e-16,PASS,PASS,PASS
64,phase6d_like_multimode,phase6d_like_low_k_nonlinear,True,arakawa,pseudo_spectral,0.010016891413765928,0.010016891413765919,5.298071770021524e-09,2.0978012808640922e-08,5.289137668738767e-07,0.9999999999998601,5.081005135569793e-06,5.081005135569791e-06,1.6940658945086007e-21,1.6940658945086007e-21,5.016905679758879e-05,5.016905679758869e-05,9.486769009248164e-20,9.486769009248164e-20,PASS,PASS,PASS
64,higher_smooth_multimode,higher_smooth_nonlinear,True,pseudo_spectral,fd_centered,0.009997969950105864,0.009997969950134827,1.0642810657244462e-08,3.249821532930533e-08,1.064497163956863e-06,0.9999999999994331,1.2687567985841963e-06,1.2687567985853e-06,-1.1036839302723533e-18,1.1036839302723533e-18,4.997970156160992e-05,4.997970156189949e-05,-2.8957007148014413e-16,2.8957007148014413e-16,PASS,PASS,PASS
