method,N,Re,nu,dt,steps,step,time,rms_vorticity,kinetic_energy,enstrophy,max_abs_vorticity,finite,real
fd_centered,64,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643773e-06,5e-05,0.031829093294364445,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,100,0.1,0.009999988938619097,5.0596712268914976e-06,4.999988938625215e-05,0.0318291618826395,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,200,0.2,0.009999977892994106,5.0596612366366905e-06,4.9999778930185415e-05,0.03182923030954705,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,300,0.3,0.009999966863125513,5.0596512528827055e-06,4.999966863180416e-05,0.031829298574874335,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,400,0.4,0.009999955849013809,5.059641275632885e-06,4.999955849111273e-05,0.03182936667840932,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,500,0.5,0.009999944850659507,5.059631304890588e-06,4.99994485081158e-05,0.03182943461994056,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,600,0.6,0.009999933868063113,5.05962134065915e-06,4.999933868281785e-05,0.031829502399257144,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.009999922901225144,5.0596113829419165e-06,4.9999229015223554e-05,0.031829570016149,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,800,0.8,0.00999991195014612,5.05960143174222e-06,4.9999119505337585e-05,0.031829637470406534,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,900,0.9,0.009999901014826562,5.059591487063384e-06,4.999901015316465e-05,0.03182970476182073,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,1000,1000,1.0,0.009999890095266997,5.059581548908734e-06,4.99989009587095e-05,0.03182977189018332,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643773e-06,5e-05,0.031829093294364445,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,100,0.1,0.009999988930749139,5.059671223654963e-06,4.999988930755265e-05,0.03182916253488707,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,200,0.2,0.009999977861513238,5.059661223688291e-06,4.9999778615377434e-05,0.03182923160838307,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,300,0.3,0.009999966792291268,5.059651223743753e-06,4.999966792346406e-05,0.03182930051463792,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,400,0.4,0.009999955723082207,5.059641223821357e-06,4.999955723180229e-05,0.03182936925343783,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,500,0.5,0.009999944653885028,5.059631223921094e-06,4.999944654038187e-05,0.0318294378245697,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,600,0.6,0.009999933584698714,5.059621224042978e-06,4.999933584919264e-05,0.03182950622782106,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.009999922515522232,5.059611224186995e-06,4.999922515822424e-05,0.03182957446298021,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,800,0.8,0.009999911446354561,5.059601224353155e-06,4.999911446746649e-05,0.0318296425298361,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,900,0.9,0.009999900377194669,5.059591224541446e-06,4.9999003776909036e-05,0.031829710428178185,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,1000,1000,1.0,0.009999889308041536,5.059581224751877e-06,4.999889308654172e-05,0.03182977815779682,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643773e-06,5e-05,0.031829093294364445,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,100,0.1,0.009999988930749154,5.059671223654963e-06,4.99998893075528e-05,0.03182913999709744,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,200,0.2,0.00999997786151337,5.059661223688289e-06,4.999977861537875e-05,0.03182918654272106,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,300,0.3,0.009999966792291716,5.059651223743756e-06,4.9999667923468534e-05,0.03182923293110496,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,400,0.4,0.009999955723083266,5.0596412238213585e-06,4.999955723181289e-05,0.0318292791621196,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,500,0.5,0.009999944653887101,5.059631223921098e-06,4.99994465404026e-05,0.03182932523563571,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,600,0.6,0.009999933584702294,5.0596212240429816e-06,4.999933584922844e-05,0.03182937115152497,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.009999922515527919,5.059611224187e-06,4.9999225158281105e-05,0.03182941690965931,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,800,0.8,0.009999911446363046,5.05960122435316e-06,4.999911446755133e-05,0.03182946250991142,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,900,0.9,0.009999900377206754,5.059591224541457e-06,4.999900377702989e-05,0.031829507952154515,PASS,PASS
arakawa,64,1000000,1e-06,0.001,1000,1000,1.0,0.009999889308058113,5.0595812247518894e-06,4.9998893086707484e-05,0.03182955323626244,PASS,PASS
