method,N,Re,nu,dt,steps,step,time,rms_vorticity,kinetic_energy,enstrophy,max_abs_vorticity,finite,real
fd_centered,64,1000000,1e-06,0.001,5000,0,0.0,0.01,5.059681223643773e-06,5e-05,0.031829093294364445,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,500,0.5,0.009999944850659507,5.059631304890588e-06,4.99994485081158e-05,0.03182943461994056,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,1000,1.0,0.009999890095266997,5.059581548908734e-06,4.99989009587095e-05,0.03182977189018332,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,1500,1.5,0.009999835733887916,5.05953195611417e-06,4.999835735237084e-05,0.031830105078973145,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,2000,2.0,0.009999781766590546,5.059482526919467e-06,4.9997817689718374e-05,0.03183043416057835,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,2500,2.5,0.009999728193446028,5.059433261733835e-06,4.999728197139968e-05,0.03183075910965605,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,3000,3.0,0.00999967501452833,5.059384160963089e-06,4.9996750198091074e-05,0.0318310799012524,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,3500,3.5,0.00999962222991421,5.059335225009615e-06,4.999622237049723e-05,0.031831396510802176,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,4000,4.0,0.009999569839683196,5.059286454272357e-06,4.999569848935091e-05,0.031831708914129155,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,4500,4.5,0.009999517843917602,5.0592378491468215e-06,4.999517855541327e-05,0.031832017087446415,PASS,PASS
fd_centered,64,1000000,1e-06,0.001,5000,5000,5.0,0.009999466242702442,5.059189410024989e-06,4.999466256947285e-05,0.031832321007355696,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,0,0.0,0.01,5.059681223643773e-06,5e-05,0.031829093294364445,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,500,0.5,0.009999944653885028,5.059631223921094e-06,4.999944654038187e-05,0.0318294378245697,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,1000,1.0,0.009999889308041536,5.059581224751877e-06,4.999889308654172e-05,0.03182977815779682,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,1500,1.5,0.009999833962341411,5.059531226136123e-06,4.999833963719836e-05,0.03183011426774499,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,2000,2.0,0.009999778616656553,5.0594812280738135e-06,4.9997786191070825e-05,0.03183044612853756,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,2500,2.5,0.009999723270858915,5.0594312305649526e-06,4.999723274687867e-05,0.03183077371472232,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,3000,3.0,0.009999667924820457,5.059381233609507e-06,4.9996679303341524e-05,0.031831097001272506,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,3500,3.5,0.009999612578413206,5.059331237207512e-06,4.999612585917981e-05,0.031831415963586684,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,4000,4.0,0.009999557231509202,5.0592812413589785e-06,4.999557241311399e-05,0.03183173057748895,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,4500,4.5,0.00999950188398047,5.059231246063883e-06,4.999501896386448e-05,0.03183204081922936,PASS,PASS
pseudo_spectral,64,1000000,1e-06,0.001,5000,5000,5.0,0.009999446535699088,5.059181251322257e-06,4.9994465510152245e-05,0.0318323466654843,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,0,0.0,0.01,5.059681223643773e-06,5e-05,0.031829093294364445,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,500,0.5,0.009999944653887101,5.059631223921098e-06,4.99994465404026e-05,0.03182932523563571,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,1000,1.0,0.009999889308058113,5.0595812247518894e-06,4.9998893086707484e-05,0.03182955323626244,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,1500,1.5,0.009999833962397323,5.059531226136125e-06,4.9998339637757464e-05,0.031829777280397646,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,2000,2.0,0.00999977861678907,5.059481228073807e-06,4.9997786192395964e-05,0.03182999735255776,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,2500,2.5,0.009999723271117726,5.0594312305649305e-06,4.999723274946669e-05,0.031830213437621664,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,3000,3.0,0.009999667925267686,5.059381233609502e-06,4.999667930781367e-05,0.03183042552082979,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,3500,3.5,0.009999612579123367,5.059331237207512e-06,4.9996125866281136e-05,0.03183063358778315,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,4000,4.0,0.009999557232569218,5.059281241358962e-06,4.9995572423713686e-05,0.03183083762444277,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,4500,4.5,0.009999501885489707,5.059231246063858e-06,4.99950189789561e-05,0.03183103761712852,PASS,PASS
arakawa,64,1000000,1e-06,0.001,5000,5000,5.0,0.009999446537769316,5.059181251322195e-06,4.999446553085337e-05,0.03183123355251785,PASS,PASS
