method,N,Re,nu,dt,steps,step,time,rms_vorticity,kinetic_energy,enstrophy,max_abs_vorticity,finite,real
fd_centered,128,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643774e-06,4.9999999999999996e-05,0.031829093294364445,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,100,0.1,0.009999988932832677,5.059671224513289e-06,4.999988932838802e-05,0.03182916236957378,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,200,0.2,0.009999977869847467,5.059661227121975e-06,4.999977869871954e-05,0.03182923127919905,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,300,0.3,0.009999966811043749,5.059651231470741e-06,4.9999668110988246e-05,0.031829300023026114,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,400,0.4,0.009999955756420905,5.059641237560482e-06,4.9999557565187786e-05,0.03182936860084158,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,500,0.5,0.009999944705978314,5.059631245392102e-06,4.999944706131185e-05,0.031829437012432446,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,600,0.6,0.009999933659715361,5.059621254966492e-06,4.999933659935413e-05,0.03182950525758664,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.009999922617631435,5.059611266284558e-06,4.999922617930836e-05,0.03182957333609265,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,800,0.8,0.009999911579725915,5.059601279347188e-06,4.999911580116822e-05,0.03182964124773956,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,900,0.9,0.009999900545998195,5.059591294155278e-06,4.9999005464927495e-05,0.031829708992317345,PASS,PASS
fd_centered,128,1000000,1e-06,0.001,1000,1000,1.0,0.00999988951644766,5.059581310709718e-06,4.9998895170579906e-05,0.03182977656961643,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643774e-06,4.9999999999999996e-05,0.031829093294364445,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,100,0.1,0.009999988930749236,5.059671223655073e-06,4.999988930755363e-05,0.031829162534887254,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,200,0.2,0.009999977861513428,5.059661223688505e-06,4.999977861537934e-05,0.03182923160838333,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,300,0.3,0.009999966792291556,5.059651223744078e-06,4.9999667923466935e-05,0.031829300514638295,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,400,0.4,0.00999995572308259,5.059641223821784e-06,4.999955723180613e-05,0.031829369253438385,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,500,0.5,0.009999944653885514,5.059631223921635e-06,4.999944654038673e-05,0.031829437824570414,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,600,0.6,0.009999933584699288,5.059621224043616e-06,4.999933584919838e-05,0.03182950622782196,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.009999922515522902,5.05961122418774e-06,4.9999225158230934e-05,0.03182957446298125,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,800,0.8,0.009999911446355323,5.059601224354003e-06,4.999911446747411e-05,0.03182964252983719,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,900,0.9,0.009999900377195527,5.059591224542402e-06,4.999900377691763e-05,0.0318297104281794,PASS,PASS
pseudo_spectral,128,1000000,1e-06,0.001,1000,1000,1.0,0.009999889308042496,5.059581224752943e-06,4.999889308655131e-05,0.03182977815779816,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,0,0.0,0.01,5.059681223643774e-06,4.9999999999999996e-05,0.031829093294364445,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,100,0.1,0.009999988930749241,5.059671223655072e-06,4.999988930755367e-05,0.0318291567436937,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,200,0.2,0.009999977861513467,5.059661223688508e-06,4.9999778615379724e-05,0.03182922002849232,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,300,0.3,0.009999966792291674,5.059651223744078e-06,4.999966792346812e-05,0.03182928314857028,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,400,0.4,0.009999955723082876,5.059641223821795e-06,4.999955723180898e-05,0.03182934610373836,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,500,0.5,0.009999944653886058,5.059631223921641e-06,4.999944654039219e-05,0.03182940889380796,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,600,0.6,0.00999993358470023,5.059621224043629e-06,4.99993358492078e-05,0.031829471518590974,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,700,0.7000000000000001,0.00999992251552439,5.059611224187754e-06,4.999922515824583e-05,0.0318295339779001,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,800,0.8,0.00999991144635754,5.059601224354019e-06,4.999911446749627e-05,0.03182959627154881,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,900,0.9,0.00999990037719868,5.0595912245424206e-06,4.999900377694914e-05,0.03182965839935099,PASS,PASS
arakawa,128,1000000,1e-06,0.001,1000,1000,1.0,0.009999889308046815,5.0595812247529685e-06,4.99988930865945e-05,0.03182972036112121,PASS,PASS
