N,method,k,E_k,mode_count
64,fd_centered,1.0,1.552906166669502e-12,8
64,fd_centered,2.0,6.409802118802128e-12,12
64,fd_centered,3.0,1.0324200273641766e-05,16
64,fd_centered,4.0,6.550276931892466e-07,32
64,fd_centered,5.0,1.2784689309243246e-12,28
64,fd_centered,6.0,4.614304782316642e-12,40
64,fd_centered,7.0,8.280515104884221e-13,40
64,fd_centered,8.0,1.3055618386148193e-14,48
64,fd_centered,9.0,3.682821724891372e-17,68
64,fd_centered,10.0,3.7548056155488796e-19,56
64,fd_centered,11.0,1.0867514667893379e-19,72
64,fd_centered,12.0,3.786301910463006e-21,68
64,fd_centered,13.0,3.995085015011577e-24,88
64,fd_centered,14.0,1.0828208387018323e-25,88
64,fd_centered,15.0,2.8780871728677865e-26,84
64,fd_centered,16.0,9.86890131580274e-28,112
64,fd_centered,17.0,1.4722317769790226e-30,112
64,fd_centered,18.0,1.7825771201636625e-31,112
64,fd_centered,19.0,4.825905282671675e-33,116
64,fd_centered,20.0,3.3043008592422327e-34,112
64,fd_centered,21.0,3.815519375361198e-35,144
64,fd_centered,22.0,1.6523717961694607e-37,140
64,fd_centered,23.0,7.668982994359166e-38,144
64,fd_centered,24.0,6.183631936019729e-38,144
64,fd_centered,25.0,4.363122142559726e-38,168
64,fd_centered,26.0,3.3885610725073387e-38,164
64,fd_centered,27.0,2.0250261452019814e-38,160
64,fd_centered,28.0,2.175280938939678e-38,184
64,fd_centered,29.0,4.162396862555166e-39,172
64,fd_centered,30.0,1.2758454265274104e-39,200
64,fd_centered,31.0,3.0933705810190037e-40,192
64,fd_centered,32.0,1.3715971287327672e-40,166
64,fd_centered,33.0,1.0268742923064949e-40,148
64,fd_centered,34.0,8.861774511513749e-41,128
64,fd_centered,35.0,5.989654599727112e-41,104
64,fd_centered,36.0,5.232530975177838e-41,88
64,fd_centered,37.0,4.803452979305921e-41,76
64,fd_centered,38.0,4.5329923861043986e-41,68
64,fd_centered,39.0,2.389634956529874e-41,48
64,fd_centered,40.0,2.844307284761057e-41,56
64,fd_centered,41.0,1.9275464303584208e-41,28
64,fd_centered,42.0,1.8038172021119778e-41,32
64,fd_centered,43.0,7.055089468642971e-42,16
64,fd_centered,44.0,6.576109948262567e-42,8
64,fd_centered,45.0,6.278484887046989e-43,5
64,pseudo_spectral,1.0,1.7397241811034563e-12,8
64,pseudo_spectral,2.0,7.294992772848998e-12,12
64,pseudo_spectral,3.0,1.0324199782161813e-05,16
64,pseudo_spectral,4.0,6.550259760464353e-07,32
64,pseudo_spectral,5.0,1.374207052945766e-12,28
64,pseudo_spectral,6.0,4.916046672557877e-12,40
64,pseudo_spectral,7.0,9.205777381154078e-13,40
64,pseudo_spectral,8.0,1.1759606964993633e-14,48
64,pseudo_spectral,9.0,1.3968291664375834e-17,68
64,pseudo_spectral,10.0,4.889443923181285e-19,56
64,pseudo_spectral,11.0,1.4537663830295647e-19,72
64,pseudo_spectral,12.0,2.886296441708363e-21,68
64,pseudo_spectral,13.0,7.24639716207748e-24,88
64,pseudo_spectral,14.0,3.0556155088342047e-25,88
64,pseudo_spectral,15.0,4.415210689335306e-26,84
64,pseudo_spectral,16.0,1.9073648241264884e-27,112
64,pseudo_spectral,17.0,3.5934682185595026e-30,112
64,pseudo_spectral,18.0,4.036341772748899e-31,112
64,pseudo_spectral,19.0,9.025483110554464e-33,116
64,pseudo_spectral,20.0,9.554482646519573e-34,112
64,pseudo_spectral,21.0,3.9999239867466486e-35,144
64,pseudo_spectral,22.0,5.207423625714114e-37,140
64,pseudo_spectral,23.0,1.1208632572198456e-37,144
64,pseudo_spectral,24.0,6.590683774237435e-38,144
64,pseudo_spectral,25.0,6.223937117787966e-38,168
64,pseudo_spectral,26.0,3.037160874956516e-38,164
64,pseudo_spectral,27.0,8.234720014377396e-39,160
64,pseudo_spectral,28.0,2.0791567837378393e-38,184
64,pseudo_spectral,29.0,4.4441021001873425e-39,172
64,pseudo_spectral,30.0,1.3687724851396847e-39,200
64,pseudo_spectral,31.0,3.9125950056236086e-40,192
64,pseudo_spectral,32.0,1.4962407456522944e-40,166
64,pseudo_spectral,33.0,7.285122732054361e-41,148
64,pseudo_spectral,34.0,7.098458428448641e-41,128
64,pseudo_spectral,35.0,4.048400345191173e-41,104
64,pseudo_spectral,36.0,5.059494695392141e-41,88
64,pseudo_spectral,37.0,4.917304010360411e-41,76
64,pseudo_spectral,38.0,4.0878970330826646e-41,68
64,pseudo_spectral,39.0,2.3584259307208135e-41,48
64,pseudo_spectral,40.0,3.305608111131885e-41,56
64,pseudo_spectral,41.0,2.216772312707744e-41,28
64,pseudo_spectral,42.0,1.654198933408545e-41,32
64,pseudo_spectral,43.0,1.2643445222702136e-41,16
64,pseudo_spectral,44.0,8.923842050813358e-42,8
64,pseudo_spectral,45.0,7.795361911494494e-43,5
64,arakawa,1.0,1.6807794612702457e-12,8
64,arakawa,2.0,6.941915044939002e-12,12
64,arakawa,3.0,1.0324199197469695e-05,16
64,arakawa,4.0,6.55027584433305e-07,32
64,arakawa,5.0,1.2664030228597157e-12,28
64,arakawa,6.0,4.4379324848877286e-12,40
64,arakawa,7.0,8.15515417098321e-13,40
64,arakawa,8.0,1.0125420300155962e-14,48
