k,E(k),mode_count,fraction
1,7.030536679386911e-05,8,0.039869175288278234
2,2.4039175778725917e-05,12,0.013632275267374525
3,0.0015480946192272,16,0.8779024781674549
4,0.0001023175258923,32,0.05802281619301341
5,9.533357637251231e-06,28,0.0054062317580933295
6,6.203100014419039e-06,40,0.0035176899443636854
7,1.7665363054955183e-06,40,0.0010017776569377068
8,5.825174047570279e-07,48,0.0003303373494490627
9,2.4941045859822774e-07,68,0.00014143712985293378
10,1.827401965084735e-07,56,0.00010362937082985365
11,5.3908014799007615e-08,72,3.0570469787409685e-05
12,3.463860247092199e-08,68,1.9643059650100653e-05
13,1.601123326317274e-08,88,9.07974305037851e-06
14,1.09092973529394e-08,88,6.186507634780158e-06
15,4.722829368214176e-09,84,2.678249478308381e-06
16,3.3491437450023077e-09,112,1.8992518654604579e-06
17,1.531319982469827e-09,112,8.68389819834589e-07
18,9.188958467736193e-10,112,5.210927878962868e-07
19,5.315542080194504e-10,116,3.0143684417271904e-07
20,3.245735631607755e-10,112,1.840610592579465e-07
21,1.5315500409151536e-10,144,8.685202827124823e-08
22,1.1236554730530187e-10,140,6.372090647095616e-08
23,4.910920323365916e-11,144,2.784913188392863e-08
24,3.444032806958029e-11,144,1.9530621052270022e-08
25,1.6601752637660522e-11,168,9.41461820324708e-09
26,1.0206088544226591e-11,164,5.787727903767118e-09
27,5.073976593627974e-12,160,2.877380084127738e-09
28,3.064280288214764e-12,184,1.7377098437086013e-09
29,1.5057840589058986e-12,172,8.539087601495818e-10
30,8.653857940865334e-13,200,4.907479967721408e-10
31,4.2880447690518477e-13,192,2.4316893053493195e-10
32,2.1910106456900707e-13,188,1.2424910284248554e-10
33,1.151520916786606e-13,208,6.53011162207429e-11
34,6.276278903871348e-14,224,3.559188653552271e-11
35,2.828222324107604e-14,224,1.603844723898101e-11
36,1.2548618780580034e-14,228,7.116143540728301e-12
37,5.921090736344543e-15,224,3.357766486835357e-12
38,2.7433106780493397e-15,248,1.555692535024116e-12
39,1.2156829012616828e-15,236,6.893965126086404e-13
40,5.451986827828505e-16,264,3.0917443208195287e-13
41,2.374539665713582e-16,248,1.3465677298700909e-13
42,9.47739260244151e-17,264,5.3744947814641434e-14
43,3.5108777355118265e-17,276,1.990968915121865e-14
44,1.0990616353338837e-17,264,6.23262248531068e-15
45,2.7131491923743423e-18,288,1.5385883847412926e-15
46,5.388077106241383e-19,276,3.0555020251203587e-16
47,1.8453939810522824e-19,304,1.0464967250967107e-16
48,4.565102257854932e-20,304,2.5888046734890902e-17
49,1.3099767494572128e-20,312,7.428692151028364e-18
50,2.86104006923503e-21,316,1.6224552012018834e-18
51,4.404980852380306e-22,320,2.4980020979049166e-19
52,1.3767718129764704e-22,344,7.807477472446128e-20
53,2.232796365426761e-23,316,1.2661871167990683e-20
54,1.9117128990352344e-24,336,1.0841052418653315e-21
55,6.803304152875614e-25,352,3.858057189371245e-22
56,5.261599753761676e-26,340,2.98377851429941e-23
57,1.906769681366627e-26,376,1.0813020133110213e-23
58,1.4079265794202812e-27,336,7.984151729484779e-25
59,4.446013967584331e-28,392,2.521271394934401e-25
60,5.8118410058418575e-39,380,3.2958125158336925e-36
61,2.663825045227098e-38,368,1.5106173612158198e-35
62,2.007830514281639e-38,400,1.1386121767595871e-35
63,3.1654747699643557e-38,364,1.7950957975136638e-35
64,4.6750237811309337e-39,406,2.6511396086341498e-36
65,3.161423898648228e-39,312,1.792798605905995e-36
66,2.4456810545479982e-39,288,1.3869110013874262e-36
67,2.1872864439260264e-39,260,1.240379086482003e-36
68,2.2854497518268556e-39,232,1.2960461046351132e-36
69,2.064719627319377e-39,240,1.170873185031491e-36
70,1.5282379288031845e-39,200,8.666420309603268e-37
71,1.3023616368315408e-39,180,7.385507928548868e-37
72,1.4479246102753645e-39,192,8.21097488340172e-37
73,8.569855656476891e-40,152,4.85984346493894e-37
74,1.1604734941428064e-39,164,6.580880417142627e-37
75,1.0892147062474692e-39,140,6.176781948563527e-37
76,9.911262386254464e-40,136,5.620536175627448e-37
77,8.9228788144671e-40,120,5.060037885487224e-37
78,6.152189263401416e-40,100,3.488819180310485e-37
79,4.893761496930382e-40,108,2.775182661548373e-37
80,5.219109522618488e-40,84,2.9596829075094755e-37
81,4.779273575568042e-40,92,2.7102581868838903e-37
82,5.695051999666529e-40,68,3.229583128643382e-37
83,3.621613909948622e-40,64,2.0537658273735046e-37
84,4.0417404147434596e-40,56,2.2920136031375836e-37
85,4.960462284602136e-40,32,2.813007731195592e-37
86,4.340435729566871e-40,52,2.4613994751919563e-37
87,1.5148449662039503e-40,20,8.590470720283325e-38
88,1.6012810659082319e-40,28,9.080637569202405e-38
89,5.67500620121585e-41,8,3.218215440959356e-38
90,7.62044461694041e-42,4,4.32144594449236e-39
91,3.695497741530856e-42,1,2.0956642992349528e-39
