run,output_dir,saved_index,step,masked_kmin,masked_kmax,fit_kmin,fit_kmax,fit_points,residual_energy,compensated_mean,compensated_std,compensated_cv,plateau_width
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,0,0,2,4,6,40,35,1.8463774199548515e-12,164.78266757422372,125.12122849783499,0.7593106140333366,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,1,1000,2,4,6,40,35,1.7051515504091106e-12,165.78822411900734,121.63862195783179,0.733698805233092,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,2,2000,2,4,6,40,35,1.6024380581177335e-12,164.07846460867822,116.25986303190962,0.7085625972255749,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,3,3000,2,4,6,40,35,1.524372625011398e-12,160.58078741479792,109.83010776539871,0.6839554689795823,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,4,4000,2,4,6,40,35,1.4627680083210596e-12,155.95558087764732,102.92035059511524,0.6599337453390648,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,5,5000,2,4,6,40,35,1.4125966838134305e-12,150.6584082769353,95.90251781244913,0.6365560270367672,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,6,6000,2,4,6,40,35,1.370655277922464e-12,144.99914527408401,89.01245631030002,0.6138826276668363,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,7,7000,2,4,6,40,35,1.334831005574046e-12,139.18724435899793,82.39536880426586,0.5919749987416092,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,8,8000,2,4,6,40,35,1.3036850192864771e-12,133.36363804434066,76.13665122108327,0.5708951280690874,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,9,9000,2,4,6,40,35,1.2762080613736409e-12,127.62248525564158,70.28232829210991,0.5507049024419705,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,10,10000,2,4,6,40,35,1.2516727627184181e-12,122.02583741820033,64.85251446003258,0.5314654325032293,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,11,11000,2,4,6,40,35,1.2295417867765262e-12,116.61354000950776,59.85030703923797,0.5132363448906383,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,12,12000,2,4,6,40,35,1.209409161579643e-12,111.40996625360354,55.26770495564909,0.4960750533739746,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,13,13000,2,4,6,40,35,1.1909618624685478e-12,106.4286447829678,51.089583642891945,0.4800360255180851,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,14,14000,2,4,6,40,35,1.1739540613320323e-12,101.67547831396391,47.29638867560918,0.46517006322372606,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,15,15000,2,4,6,40,35,1.1581894848047362e-12,97.1510104417004,43.86597527006402,0.45152361329672086,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,16,16000,2,4,6,40,35,1.1435090783175009e-12,92.85204194022182,40.774870894814065,0.4391381174047302,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,17,17000,2,4,6,40,35,1.129782213922157e-12,88.77279704251899,37.9991424745124,0.4280493995960516,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,18,18000,2,4,6,40,35,1.1169003112324895e-12,84.90577440909237,35.514988047907664,0.4182870752322405,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,19,19000,2,4,6,40,35,1.1047721318046757e-12,81.24237419689356,33.299132838527534,0.4098739502347136,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,20,20000,2,4,6,40,35,1.093320254102699e-12,77.77336376778645,31.329083866429258,0.40282536782092604,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,21,21000,2,4,6,40,35,1.0824783949229737e-12,74.48922505025773,29.583280749417632,0.39714845643054886,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,22,22000,2,4,6,40,35,1.0721893470056528e-12,71.38041319995041,28.0411702346449,0.3928412428223991,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,23,23000,2,4,6,40,35,1.0624033716375198e-12,68.43754698579963,26.683226266377115,0.38989162296997176,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,24,24000,2,4,6,40,35,1.0530769317384342e-12,65.6515449963991,25.49093450813921,0.3882762318775187,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,25,25000,2,4,6,40,35,1.0441716829445174e-12,63.01371751609218,24.446758839245557,0.38795931747722145,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,26,26000,2,4,6,40,35,1.0356536624773105e-12,60.51582124164002,23.534106124047607,0.388891791290013,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,27,27000,2,4,6,40,35,1.0274926313078455e-12,58.150082536318806,22.73730332874845,0.3910106802436163,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,28,28000,2,4,6,40,35,1.0196615363337177e-12,55.9091943622733,22.0415970444715,0.39423921764368774,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,29,29000,2,4,6,40,35,1.0121360674341688e-12,53.78629212739182,21.433179589956524,0.39848776969404104,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,30,30000,2,4,6,40,35,1.0048942901812097e-12,51.77491416192855,20.899238923060757,0.40365569429429426,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,31,31000,2,4,6,40,35,9.979163393879757e-13,49.868953106954585,20.428023138754416,0.4096340882661437,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,32,32000,2,4,6,40,35,9.911841619659564e-13,48.06260486133075,20.008906141111776,0.4163092324862763,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,33,33000,2,4,6,40,35,9.846813000390703e-13,46.350321623957676,19.632440387710908,0.4235664327637209,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,34,34000,2,4,6,40,35,9.783927071338104e-13,44.726774784248384,19.290385500704133,0.4312939082631487,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,35,35000,2,4,6,40,35,9.723045917447218e-13,43.18683186760044,18.975706800610837,0.43938640506868865,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,36,36000,2,4,6,40,35,9.66404283673393e-13,41.725549510368204,18.682543421434225,0.4477482894932727,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,37,37000,2,4,6,40,35,9.606801194239048e-13,40.338181761852496,18.40614972718176,0.45629596881305917,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,38,38000,2,4,6,40,35,9.551213436316116e-13,39.020200294768266,18.142815474825944,0.46495956806399297,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,39,39000,2,4,6,40,35,9.497180240384393e-13,37.767320851122555,17.889770135165357,0.4736838550366386,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,40,40000,2,4,6,40,35,9.44460977978042e-13,36.57552895777171,17.645076327362737,0.4824284659761139,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,41,41000,2,4,6,40,35,9.393417086483747e-13,35.44109799082886,17.407517325818027,0.49116755159003805,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,42,42000,2,4,6,40,35,9.343523497740017e-13,34.36059417353538,17.176483587447642,0.499889015326662,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,43,43000,2,4,6,40,35,9.29485617447831e-13,33.330865860403364,16.951861737903474,0.5085935003579389,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,44,44000,2,4,6,40,35,9.24734768145894e-13,32.34901794019808,16.7339255202856,0.517293154037032,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,45,45000,2,4,6,40,35,9.200935620506778e-13,31.412375588020236,16.52322312277601,0.5260099821637649,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,46,46000,2,4,6,40,35,9.15556230942561e-13,30.518444039494884,16.320452442063132,0.5347734118077029,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,47,47000,2,4,6,40,35,9.111174500127365e-13,29.664871847433485,16.12631830781975,0.543616651733992,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,48,48000,2,4,6,40,35,9.067723130524012e-13,28.849423913952865,15.941373313862945,0.5525716340613993,34.0
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,49,49000,2,4,6,40,35,9.02516310498255e-13,28.069967726191575,15.765852807458142,0.5616626624314681,34.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,0,0,2,4,9,35,27,2.3884035445575848e-12,109.50721497441472,70.40873254967799,0.6429597590088315,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,1,1000,2,4,9,35,27,2.2482677065958832e-12,109.880075985267,68.2591140740547,0.6212146602738703,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,2,2000,2,4,9,35,27,2.1462452864098614e-12,108.78297741460067,65.22911637184492,0.599626135652084,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,3,3000,2,4,9,35,27,2.0685223874120013e-12,106.73660419727712,61.717688793737395,0.5782242114398448,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,4,4000,2,4,9,35,27,2.0069534980937336e-12,104.0956869417745,57.985489984078846,0.5570402740750708,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,5,5000,2,4,9,35,27,1.9565456166832653e-12,101.09800490451526,54.19920070980731,0.5361055419540396,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,6,6000,2,4,9,35,27,1.9141236280165423e-12,97.90251305421017,50.463781294983676,0.5154492946165854,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,7,7000,2,4,9,35,27,1.877597654003059e-12,94.6157809681932,46.84398907997841,0.4950969975687867,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,8,8000,2,4,9,35,27,1.8455472781919793e-12,91.30952520292259,43.378292309890966,0.475068643862607,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,9,9000,2,4,9,35,27,1.8169779776939134e-12,88.03207274284853,40.08785843851496,0.4553778775108028,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,10,10000,2,4,9,35,27,1.7911740787473982e-12,84.8158653005039,36.98249204835369,0.4360327153100916,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,11,11000,2,4,9,35,27,1.767607435861263e-12,81.68241789505437,34.06474028781449,0.4170388336395831,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,12,12000,2,4,9,35,27,1.7458791924692023e-12,78.6456406848496,31.332916555703463,0.3984062725264247,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,13,13000,2,4,9,35,27,1.7256817048895399e-12,75.71410060833806,28.78346122111365,0.38015985120140033,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,14,14000,2,4,9,35,27,1.7067730633711843e-12,72.89258843064512,26.412809906766988,0.36235247609430005,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,15,15000,2,4,9,35,27,1.6889596679071923e-12,70.1832245309908,24.21875248784592,0.34507893659334,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,16,16000,2,4,9,35,27,1.672084067935906e-12,67.5862535583043,22.201147071943645,0.3284861329499717,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,17,17000,2,4,9,35,27,1.6560163134563724e-12,65.10062479300461,20.36183173299498,0.31277475135972826,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,18,18000,2,4,9,35,27,1.640647694424563e-12,62.72441970029077,18.703682670319306,0.29818821377206944,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,19,19000,2,4,9,35,27,1.6258861346865275e-12,60.455163498541424,17.228998049389553,0.284988031664247,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,20,20000,2,4,9,35,27,1.6116527523224244e-12,58.29003964466387,15.937666150979956,0.2734200602390388,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,21,21000,2,4,9,35,27,1.5978792560914251e-12,56.22601351524181,14.825742112443274,0.26368118928481915,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,22,22000,2,4,9,35,27,1.584505950845657e-12,54.25986480310494,13.884932928470748,0.25589693190087354,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,23,23000,2,4,9,35,27,1.5714801932875796e-12,52.388129161588076,13.103055425979166,0.2501149713814664,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,24,24000,2,4,9,35,27,1.5587551857410151e-12,50.606960510184024,12.465047504101896,0.2463109299281758,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,25,25000,2,4,9,35,27,1.5462890272043878e-12,48.91194668482696,11.953966575998889,0.24439768576430726,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,26,26000,2,4,9,35,27,1.5340439629449043e-12,47.29793951828271,11.551711607872214,0.244232871992383,26.0
