run,output_dir,saved_index,step,peak_k,peak_kmin,peak_kmax,mid_kmin,mid_kmax,total_energy,peak_mode_energy,midrange_energy,high_k_energy,peak_fraction,midrange_fraction,high_k_fraction
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,0,0,3.0,2.0,4.0,6,40,2.532932727132544e-12,6.865553071776923e-13,9.2795756159351e-13,4.230701647821869e-13,0.2710515363567988,0.3663569709741255,0.16702779361263642
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,1,1000,3.0,2.0,4.0,6,40,3.529489135882253e-08,3.529318620727211e-08,8.998610080778314e-13,3.0880500739631114e-13,0.9999516884318163,2.549550298737204e-05,8.749283409229714e-06
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,2,2000,3.0,2.0,4.0,6,40,1.4083640071107418e-07,1.408347982730161e-07,8.734656402230818e-13,2.314830573798212e-13,0.9999886219894147,6.2019878086418594e-06,1.6436308810156872e-06
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,3,3000,3.0,2.0,4.0,6,40,3.1656383237862076e-07,3.165623080059957e-07,8.486396816132277e-13,1.7735579825078403e-13,0.9999951846279671,2.6807853418903103e-06,5.602528782841517e-07
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,4,4000,3.0,2.0,4.0,6,40,5.624140076675111e-07,5.624125448995029e-07,8.252627610536382e-13,1.3834221507977742e-13,0.9999973991259318,1.4673581201795359e-06,2.459793198493072e-07
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,5,5000,3.0,2.0,4.0,6,40,8.783237952549053e-07,8.783223826582217e-07,8.032248182868245e-13,1.0951228258102277e-13,0.9999983917130661,9.144973899445754e-07,1.246832696240916e-07
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,6,6000,3.0,2.0,4.0,6,40,1.2642301098250981e-06,1.2642287391698198e-06,7.824251281279319e-13,8.775216584334856e-14,0.9999989158181982,6.18894552540105e-07,6.941154554172797e-08
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,7,7000,3.0,2.0,4.0,6,40,1.720069911307547e-06,1.720068576476542e-06,7.627714272992582e-13,7.103135683038728e-14,0.999999223967005,4.4345373538882593e-07,4.129562197642962e-08
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,8,8000,3.0,2.0,4.0,6,40,2.2457802044318567e-06,2.2457789007468373e-06,7.441791309440966e-13,5.798665830947989e-14,0.9999994194957206,3.313677489344337e-07,2.582027314830193e-08
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,9,9000,3.0,2.0,4.0,6,40,2.8412980384550618e-06,2.841296762247e-06,7.265706280002592e-13,4.767841278744457e-14,0.999999550836257,2.5571785084373884e-07,1.6780503890175988e-08
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,10,10000,3.0,2.0,4.0,6,40,3.5065605069856326e-06,3.50655925531287e-06,7.098746464040327e-13,3.944332529833761e-14,0.9999996430482918,2.024418643254118e-07,1.1248437099476869e-08
