block_id,block_label,operator_id,operator_family,classification_role,step_count,integrated_signed_work,integrated_absolute_activity,mean_signed_rate,median_signed_rate,mean_absolute_rate,maximum_absolute_rate,positive_count,negative_count,zero_count,sign_agreement_fraction_with_baseline,n90_steps,absolute_activity_ratio_to_baseline,signed_integral_magnitude_ratio_to_baseline,maximum_rate_ratio_to_baseline,signed_integral_ratio_to_baseline,near_neutral_pass,persistence_pass,integrity_failure_count
1,0.005 <= t <= 20.005,BASE_FD_ADVECTIVE_V1,BASELINE,baseline,4001,2.105976928915547e-06,2.105976928915547e-06,1.0527252831369892e-07,2.4340672968516365e-08,1.0527252831369892e-07,5.758611897682419e-07,4000,1,0,1.0,1352,1.0,1.0,1.0,1.0,False,False,0
1,0.005 <= t <= 20.005,SHADOW_FD_ADVECTIVE_PROJECTED_V1,PROJECTED_BASELINE_CHECK,mechanism_check,4001,2.1059769288781466e-06,2.1059769288781466e-06,1.0527252831182938e-07,2.434067296851634e-08,1.0527252831182938e-07,5.758611897223105e-07,4000,1,0,1.0,1352,0.9999999999822409,0.9999999999822409,0.9999999999202387,0.9999999999822409,False,False,0
1,0.005 <= t <= 20.005,SHADOW_FD_CONSERVATIVE_V1,CENTERED_ALGEBRAIC,primary_alternate,4001,-2.1059769289155465e-06,2.1059769289155465e-06,-1.052725283136989e-07,-2.4340672968516498e-08,1.052725283136989e-07,5.758611897682428e-07,1,4000,0,0.00024993751562109475,1352,0.9999999999999998,0.9999999999999998,1.0000000000000016,-0.9999999999999998,False,True,0
1,0.005 <= t <= 20.005,SHADOW_FD_SKEW_V1,CENTERED_ALGEBRAIC,primary_alternate,4001,3.472989160512777e-23,2.7155960350331928e-21,1.7360605651151096e-24,0.0,1.357458652853383e-22,1.5881867761018131e-21,1722,1742,537,0.564608847788053,1499,1.2894709328233541e-15,1.6491107347036134e-17,2.757933342826917e-15,1.6491107347036134e-17,True,False,0
1,0.005 <= t <= 20.005,SHADOW_PS_ADVECTIVE_UNPROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4001,-1.7264069931991763e-21,6.3503287013446156e-21,-8.629877496621726e-23,-7.108583389127582e-26,3.174370757982812e-22,4.0234064994579266e-21,1686,2073,242,0.4821294676330917,1490,3.015383793693627e-15,8.197653875003148e-16,6.9867644684948565e-15,-8.197653875003148e-16,True,False,0
1,0.005 <= t <= 20.005,SHADOW_PS_ADVECTIVE_PROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4001,-6.862092082198451e-17,6.862171053344249e-17,-3.4301884939757315e-18,-7.940933880509066e-23,3.4302279696797046e-18,8.422493286846817e-17,1097,2743,161,0.31442139465133717,356,3.258426509390993e-11,3.258389010810304e-11,1.4625908876124277e-10,-3.258389010810304e-11,True,False,0
1,0.005 <= t <= 20.005,SHADOW_ARAKAWA_V1,ARAKAWA,primary_alternate,4001,4.145483167091846e-25,2.875983666417419e-21,2.072223527664007e-26,0.0,1.4376324251024338e-22,1.6940658945086007e-21,1710,1775,516,0.556610847288178,1496,1.3656292369253921e-15,1.9684371230156467e-19,2.941795565682045e-15,1.9684371230156467e-19,True,False,0
2,20.005 < t <= 40.005,BASE_FD_ADVECTIVE_V1,BASELINE,baseline,4000,6.677423737985341e-05,6.677423737985341e-05,3.3387118689926703e-06,2.9883548792814254e-06,3.3387118689926703e-06,7.388363356213925e-06,4000,0,0,1.0,2779,1.0,1.0,1.0,1.0,False,False,0
2,20.005 < t <= 40.005,SHADOW_FD_ADVECTIVE_PROJECTED_V1,PROJECTED_BASELINE_CHECK,mechanism_check,4000,6.677416478048549e-05,6.677416478048549e-05,3.338708239024274e-06,2.9883545547781642e-06,3.338708239024274e-06,7.388338623691794e-06,4000,0,0,1.0,2779,0.9999989127638027,0.9999989127638027,0.999996652503276,0.9999989127638027,False,False,0
2,20.005 < t <= 40.005,SHADOW_FD_CONSERVATIVE_V1,CENTERED_ALGEBRAIC,primary_alternate,4000,-6.677423737985341e-05,6.677423737985341e-05,-3.3387118689926703e-06,-2.9883548792814245e-06,3.3387118689926703e-06,7.388363356213925e-06,0,4000,0,0.0,2779,1.0,1.0,1.0,-1.0,False,True,0
2,20.005 < t <= 40.005,SHADOW_FD_SKEW_V1,CENTERED_ALGEBRAIC,primary_alternate,4000,6.056285572868247e-22,2.2914358805596962e-20,3.0281427864341235e-23,0.0,1.145717940279848e-21,9.529120656610879e-21,1887,1838,275,0.5405,2495,3.4316166990041127e-16,9.069793696656282e-18,1.289747160119905e-15,9.069793696656282e-18,True,False,0
2,20.005 < t <= 40.005,SHADOW_PS_ADVECTIVE_UNPROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4000,-3.5215649241382806e-15,3.5215674313558044e-15,-1.76078246206914e-16,-5.185853340446047e-18,1.7607837156779022e-16,1.4374473105007802e-15,180,3794,26,0.0515,906,5.2738414836891925e-11,5.273837728921452e-11,1.945555789824314e-10,-5.273837728921452e-11,True,False,0
2,20.005 < t <= 40.005,SHADOW_PS_ADVECTIVE_PROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4000,-1.428377472693016e-10,1.428377472693016e-10,-7.141887363465079e-12,-6.150524776160569e-13,7.141887363465079e-12,4.914677088169705e-11,0,4000,0,0.0,1081,2.1391146177642075e-06,2.1391146177642075e-06,6.651915791385997e-06,-2.1391146177642075e-06,True,False,0
2,20.005 < t <= 40.005,SHADOW_ARAKAWA_V1,ARAKAWA,primary_alternate,4000,4.637505386217294e-22,2.5558160392214446e-20,2.3187526931086472e-23,0.0,1.2779080196107222e-21,1.0164395367051604e-20,1886,1880,234,0.53,2485,3.82754807768507e-16,6.94505181667037e-18,1.3757303041278986e-15,6.94505181667037e-18,True,False,0
3,40.005 < t <= 60.005,BASE_FD_ADVECTIVE_V1,BASELINE,baseline,4000,0.00023562094604340182,0.00023562094604340182,1.1781047302170091e-05,1.1695823082644636e-05,1.1781047302170091e-05,1.6920491636233386e-05,4000,0,0,1.0,3417,1.0,1.0,1.0,1.0,False,False,0
3,40.005 < t <= 60.005,SHADOW_FD_ADVECTIVE_PROJECTED_V1,PROJECTED_BASELINE_CHECK,mechanism_check,4000,0.00023561789866909528,0.00023561789866909528,1.1780894933454763e-05,1.169569068972189e-05,1.1780894933454763e-05,1.6920139688241077e-05,4000,0,0,1.0,3417,0.9999870666239241,0.9999870666239241,0.9999791998956132,0.9999870666239241,False,False,0
3,40.005 < t <= 60.005,SHADOW_FD_CONSERVATIVE_V1,CENTERED_ALGEBRAIC,primary_alternate,4000,-0.00023562094604340182,0.00023562094604340182,-1.1781047302170091e-05,-1.1695823082644632e-05,1.1781047302170091e-05,1.692049163623338e-05,0,4000,0,0.0,3417,1.0,1.0,0.9999999999999996,-1.0,False,True,0
3,40.005 < t <= 60.005,SHADOW_FD_SKEW_V1,CENTERED_ALGEBRAIC,primary_alternate,4000,-7.125664668776802e-22,7.844054487166855e-20,-3.562832334388401e-23,0.0,3.922027243583427e-21,2.710505431213761e-20,1682,1754,564,0.5615,2305,3.329098969716371e-16,3.0242067984330396e-18,1.6019070187118615e-15,-3.0242067984330396e-18,True,False,0
3,40.005 < t <= 60.005,SHADOW_PS_ADVECTIVE_UNPROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4000,-1.5620247873408468e-13,1.5620247873408468e-13,-7.810123936704234e-15,-7.709021341748522e-15,7.810123936704234e-15,1.8864060704129604e-14,0,4000,0,0.0,2957,6.629396976672519e-10,6.629396976672519e-10,1.114864810649726e-09,-6.629396976672519e-10,True,False,0
3,40.005 < t <= 60.005,SHADOW_PS_ADVECTIVE_PROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4000,-6.260604385792283e-09,6.260604385792283e-09,-3.1303021928961414e-10,-2.7047180471682534e-10,3.1303021928961414e-10,7.25916309667876e-10,0,4000,0,0.0,2770,2.657066144127555e-05,2.657066144127555e-05,4.2901608610083494e-05,-2.657066144127555e-05,True,False,0
3,40.005 < t <= 60.005,SHADOW_ARAKAWA_V1,ARAKAWA,primary_alternate,4000,1.9651164376299767e-21,9.04525308549186e-20,9.825582188149884e-23,0.0,4.52262654274593e-21,3.3881317890172014e-20,1774,1722,504,0.5695,2350,3.8389002494819403e-16,8.340160204891116e-18,2.002383773389827e-15,8.340160204891116e-18,True,False,0
4,60.005 < t <= 80.005,BASE_FD_ADVECTIVE_V1,BASELINE,baseline,4000,0.0005840604939019592,0.0005840604939019592,2.9203024695097958e-05,2.9797397542636342e-05,2.9203024695097958e-05,3.917763552744032e-05,4000,0,0,1.0,3367,1.0,1.0,1.0,1.0,False,False,0
4,60.005 < t <= 80.005,SHADOW_FD_ADVECTIVE_PROJECTED_V1,PROJECTED_BASELINE_CHECK,mechanism_check,4000,0.0005840419550823349,0.0005840419550823349,2.9202097754116744e-05,2.9796662351975768e-05,2.9202097754116744e-05,3.917525636248944e-05,4000,0,0,1.0,3367,0.9999682587337821,0.9999682587337821,0.9999392723700946,0.9999682587337821,False,False,0
4,60.005 < t <= 80.005,SHADOW_FD_CONSERVATIVE_V1,CENTERED_ALGEBRAIC,primary_alternate,4000,-0.0005840604939019592,0.0005840604939019592,-2.9203024695097965e-05,-2.9797397542636322e-05,2.9203024695097965e-05,3.917763552744043e-05,0,4000,0,0.0,3367,1.0,1.0,1.0000000000000027,-1.0,False,True,0
4,60.005 < t <= 80.005,SHADOW_FD_SKEW_V1,CENTERED_ALGEBRAIC,primary_alternate,4000,2.718975760686304e-21,3.0807435324586156e-19,1.359487880343152e-22,0.0,1.540371766229308e-20,8.639736061993863e-20,1773,1722,505,0.5695,2491,5.274699392655295e-16,4.655298190982787e-18,2.2052724585541986e-15,4.655298190982787e-18,True,False,0
4,60.005 < t <= 80.005,SHADOW_PS_ADVECTIVE_UNPROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4000,-3.5094333014597317e-12,3.5094333014597317e-12,-1.7547166507298658e-13,-1.0877326058096604e-13,1.7547166507298658e-13,1.056058047610377e-12,0,4000,0,0.0,2306,6.008681186453996e-09,6.008681186453996e-09,2.695563510642968e-08,-6.008681186453996e-09,True,False,0
4,60.005 < t <= 80.005,SHADOW_PS_ADVECTIVE_PROJECTED_RC_NYQUIST_V2,PSEUDO_SPECTRAL_RC_NYQUIST,primary_alternate,4000,-3.65556249947457e-08,3.65556249947457e-08,-1.8277812497372848e-09,-1.4504192873903787e-09,1.8277812497372848e-09,4.609700135664989e-09,0,4000,0,0.0,3135,6.258876499337746e-05,6.258876499337746e-05,0.00011766151973199912,-6.258876499337746e-05,True,False,0
4,60.005 < t <= 80.005,SHADOW_ARAKAWA_V1,ARAKAWA,primary_alternate,4000,1.359487880343152e-20,3.1767970686772535e-19,6.79743940171576e-22,0.0,1.5883985343386268e-20,8.470329472543003e-20,1793,1763,444,0.55925,2513,5.439157590430201e-16,2.3276490954913938e-17,2.1620318221119595e-15,2.3276490954913938e-17,True,False,0
5,80.005 < t <= 100.005,BASE_FD_ADVECTIVE_V1,BASELINE,baseline,4000,0.0006482912173695466,0.0006482912173695466,3.2414560868477325e-05,3.2772493600505505e-05,3.2414560868477325e-05,3.9338892670361616e-05,4000,0,0,1.0,3478,1.0,1.0,1.0,1.0,False,False,0
5,80.005 < t <= 100.005,SHADOW_FD_ADVECTIVE_PROJECTED_V1,PROJECTED_BASELINE_CHECK,mechanism_check,4000,0.0006482503301595917,0.0006482503301595917,3.241251650797958e-05,3.277034580616146e-05,3.241251650797958e-05,3.9336137939840666e-05,4000,0,0,1.0,3478,0.9999369307976733,0.9999369307976733,0.999929974375638,0.9999369307976733,False,False,0
5,80.005 < t <= 100.005,SHADOW_FD_CONSERVATIVE_V1,CENTERED_ALGEBRAIC,primary_alternate,4000,-0.0006482912173695466,0.0006482912173695466,-3.2414560868477325e-05,-3.2772493600505484e-05,3.2414560868477325e-05,3.9338892670361616e-05,0,4000,0,0.0,3478,1.0,1.0,1.0,-1.0,False,True,0
5,80.005 < t <= 100.005,SHADOW_FD_SKEW_V1,CENTERED_ALGEBRAIC,primary_alternate,4000,-5.730177888175342e-21,3.103909883566021e-19,-2.865088944087671e-22,0.0,1.5519549417830105e-20,8.978549240895584e-20,1873,1914,213,0.5215,2550,4.7878326906235e-16,8.838894827891767e-18,2.2823594238228594e-15,-8.838894827891767e-18,True,False,0
