loop_index,completed_steps,physical_time,energy,enstrophy,forcing_rms,energy_injection_rate,enstrophy_injection_rate,viscous_energy_dissipation_rate,viscous_enstrophy_dissipation_rate,continuous_energy_rhs,continuous_enstrophy_rhs,exact_amplitude,exact_energy,exact_enstrophy,exact_energy_injection_rate,exact_enstrophy_injection_rate,exact_viscous_energy_dissipation_rate,exact_viscous_enstrophy_dissipation_rate,exact_continuous_energy_rhs,exact_continuous_enstrophy_rhs,stage1_advection_rms,stage2_advection_rms,mask_removal_rms,energy_relative_error,enstrophy_relative_error,energy_injection_relative_error,enstrophy_injection_relative_error,viscous_energy_dissipation_relative_error,viscous_enstrophy_dissipation_relative_error,interval_duration,observed_energy_rate,mean_continuous_energy_rhs,energy_budget_residual,observed_enstrophy_rate,mean_continuous_enstrophy_rhs,enstrophy_budget_residual
0,1,0.005,3.906093751562501e-11,3.12487500125e-10,0.005,1.56246875e-08,1.249975e-07,6.249750002500001e-13,4.999800002000002e-12,1.562406252499975e-08,1.24992500199998e-07,4.999900001328994e-05,3.906093753639012e-11,3.1248750029112095e-10,1.5624687504153106e-08,1.2499750003322485e-07,6.249750005822419e-13,4.999800004657935e-12,1.5624062529152525e-08,1.249925002332202e-07,0.0,6.917974981969414e-25,1.0914978586502583e-20,5.316080573036436e-10,5.316082227463837e-10,2.6580404310037427e-10,2.6580404310037427e-10,5.316082382566406e-10,5.316079151262889e-10,,,,,,,
100,101,0.505,3.9687050428536287e-07,3.174964034282903e-06,0.005,1.57494147566934e-06,1.2599531805354718e-05,6.349928068565806e-09,5.0799424548526447e-08,1.5685915476007743e-06,1.2548732380806192e-05,0.005039812723483111,3.9687050449659774e-07,3.174964035972782e-06,1.5749414760884724e-06,1.259953180870778e-05,6.349928071945564e-09,5.079942457556451e-08,1.5685915480165268e-06,1.2548732384132215e-05,2.3294293780273882e-20,2.3504223256664782e-20,5.46665743346663e-19,5.322513866310798e-10,5.322513866310798e-10,2.66125725440514e-10,2.661258598951843e-10,5.322514210213405e-10,5.322514210213405e-10,0.5,7.936628866956945e-07,7.92107805062887e-07,1.5550816328075341e-09,6.349303093565556e-06,6.336862440503096e-06,1.2440653062460273e-08
200,201,1.0050000000000001,1.5655349269013783e-06,1.2524279415211025e-05,0.005,3.128033454605883e-06,2.502426763684706e-05,2.5048558830422052e-08,2.0038847064337644e-07,3.102984895775461e-06,2.4823879166203684e-05,0.010009707057397343,1.5655349277329715e-06,1.2524279421863772e-05,3.12803345543667e-06,2.502426764349336e-05,2.5048558843727546e-08,2.0038847074982037e-07,3.1029848965929426e-06,2.482387917274354e-05,1.814881762094315e-19,1.803077209270181e-19,1.122734624345862e-18,5.311879128087976e-10,5.311880480713414e-10,2.6559398010338285e-10,2.6559411549722684e-10,5.311880301067848e-10,5.311878980144568e-10,0.5000000000000001,2.3373288452320307e-06,2.335788221688118e-06,1.5406235439128725e-09,1.869863076185624e-05,1.868630577350494e-05,1.2324988351299592e-08
300,301,1.5050000000000001,3.4967885097150142e-06,2.7974308077720114e-05,0.005,4.6749254738144055e-06,3.7399403790515244e-05,5.594861615544023e-08,4.4758892924352185e-07,4.618976857658965e-06,3.695181486127172e-05,0.01495976152017145,3.4967885115687873e-06,2.79743080925503e-05,4.674925475053578e-06,3.7399403800428627e-05,5.59486161851006e-08,4.475889294808048e-07,4.618976858868478e-06,3.6951814870947824e-05,6.288402440846458e-19,6.26768132269379e-19,1.329498945085328e-18,5.301358957075677e-10,5.301358957075677e-10,2.6506792162330833e-10,2.6506792162330833e-10,5.301358540739982e-10,5.301358540739982e-10,0.5,3.862507165627272e-06,3.860980876717213e-06,1.5262889100593676e-09,3.090005732501818e-05,3.08878470137377e-05,1.221031128047494e-08
400,401,2.005,6.181473439628617e-06,4.945178751702892e-05,0.005,6.215642283600212e-06,4.972513826880169e-05,9.890357503405785e-08,7.91228600272463e-07,6.116738708566155e-06,4.893390966852923e-05,0.01989005531278218,6.181473442898978e-06,4.9451787543191825e-05,6.215642285244431e-06,4.972513828195545e-05,9.890357508638365e-08,7.912286006910692e-07,6.116738710158047e-06,4.893390968126438e-05,1.4611245823861064e-18,1.4796888815038234e-18,2.7326075691777267e-18,5.290585174026375e-10,5.290587914579919e-10,2.6452919539770027e-10,2.645293316721042e-10,5.290587764705897e-10,5.290585088384076e-10,0.4999999999999998,5.369369859827208e-06,5.36785778311256e-06,1.5120767146477112e-09,4.2954958878617637e-05,4.2942862264900475e-05,1.209661371716136e-08
500,501,2.505,9.610517174911411e-06,7.688413739929126e-05,0.005,7.750208535465116e-06,6.20016682837209e-05,1.5376827479858252e-07,1.2301461983886606e-06,7.596440260666533e-06,6.077152208533224e-05,0.02480066732003558,9.610517179985637e-06,7.688413743988509e-05,7.750208537511119e-06,6.200166830008895e-05,1.537682748797702e-07,1.2301461990381617e-06,7.596440262631349e-06,6.077152210105079e-05,2.7246410934212172e-18,2.7264358889319742e-18,3.004823199456881e-18,5.279867164686581e-10,5.279870690128268e-10,2.6399328379260963e-10,2.639937209591417e-10,5.279872232509004e-10,5.279868789694858e-10,0.5,6.8580874705655886e-06,6.8565894846163445e-06,1.4979859492440984e-09,5.486469976452468e-05,5.4852715876930735e-05,1.1983887593946011e-08
600,601,3.005,1.3774931716643667e-05,0.00011019945373314934,0.005,9.278648782501843e-06,7.422919026001474e-05,2.2039890746629867e-07,1.7631912597303894e-06,9.058249875035545e-06,7.246599900028436e-05,0.02969167611182849,1.3774931723901979e-05,0.00011019945379121583,9.278648784946404e-06,7.422919027957123e-05,2.2039890758243168e-07,1.7631912606594534e-06,9.058249877363972e-06,7.246599901891178e-05,4.550285339734458e-18,4.553675729769913e-18,2.7537812420421047e-18,5.269217929979461e-10,5.269217929979461e-10,2.6346086152807804e-10,2.6346086152807804e-10,5.269218861950912e-10,5.269218861950912e-10,0.5,8.328829083464512e-06,8.32734506785104e-06,1.4840156134729725e-09,6.663063266771615e-05,6.66187605428083e-05,1.1872124907851543e-08
700,701,3.505,1.8665812886162403e-05,0.0001493265030892992,0.005,1.0800987479786976e-05,8.64078998382958e-05,2.986530061785984e-07,2.3892240494287874e-06,1.0502334473608378e-05,8.401867578886701e-05,0.03456315994440601,1.8665812895977997e-05,0.00014932650316782398,1.0800987482626878e-05,8.640789986101502e-05,2.9865300633564797e-07,2.3892240506851837e-06,1.050233447629123e-05,8.401867581032984e-05,6.904782945322416e-18,6.905731621090532e-18,4.4207696858853355e-18,5.258594431615067e-10,5.25859624676869e-10,2.6292980868055156e-10,2.62929965524164e-10,5.258595764618508e-10,5.258595764618508e-10,0.5,9.781762339037471e-06,9.780292174321962e-06,1.470164715508727e-09,7.825409871229971e-05,7.824233739457568e-05,1.1761317724029159e-08
800,801,4.005,2.4274339608459137e-05,0.00019419471686767307,0.005,1.2317248984772111e-05,9.853799187817689e-05,3.8838943373534615e-07,3.1071154698827697e-06,1.1928859551036765e-05,9.543087640829412e-05,0.03941519676161326,2.4274339621198255e-05,0.00019419471696958604,1.2317248988004144e-05,9.853799190403315e-05,3.8838943393917203e-07,3.1071154715133763e-06,1.192885955406497e-05,9.543087643251977e-05,1.0103314232393754e-17,1.0157448958937325e-17,4.4127586328866836e-18,5.24797717568552e-10,5.247978571452342e-10,2.6239885954366967e-10,2.6239885954366967e-10,5.247976935788098e-10,5.247975572734559e-10,0.5,1.1217053444593468e-05,1.1215597012322571e-05,1.4564322708974836e-09,8.973642755674775e-05,8.972477609858057e-05,1.1651458167179869e-08
900,901,4.505,3.059177320148274e-05,0.00024473418561186185,0.005,1.3827457557673684e-05,0.00011061966046138947,4.894683712237237e-07,3.9157469697897905e-06,1.333798918644996e-05,0.00010670391349159968,0.04424786419614288,3.059177321750473e-05,0.00024473418574003786,1.382745756129465e-05,0.0001106196604903572,4.894683714800757e-07,3.9157469718406055e-06,1.3337989189814574e-05,0.0001067039135185166,1.3447053834522142e-17,1.3387930522022962e-17,6.180868782020399e-18,5.237353847269127e-10,5.237356062329866e-10,2.618678006114474e-10,2.618678006114474e-10,5.237355370123385e-10,5.237353206978132e-10,0.5,1.2634867186047202e-05,1.2633424368743362e-05,1.4428173038403462e-09,0.00010107893748837756,0.00010106739494994689,1.154253843066856e-08
