loop_index,completed_steps,physical_time,energy,enstrophy,forcing_rms,energy_injection_rate,enstrophy_injection_rate,viscous_energy_dissipation_rate,viscous_enstrophy_dissipation_rate,continuous_energy_rhs,continuous_enstrophy_rhs,stage1_advection_rms,stage2_advection_rms,mask_removal_rms,vorticity_rms,spectrum_energy_sum,dominant_shell,dominant_shell_energy,k1_energy,k2_energy,k3_energy,k4_energy,low_k_fraction_k_le_4,tail_fraction_k_gt_4,high_k_fraction_k_ge_10,finite_shell_count,nonzero_shell_count,energy_injection_to_dissipation_ratio,enstrophy_injection_to_dissipation_ratio,interval_duration,observed_energy_rate,mean_continuous_energy_rhs,energy_budget_residual,observed_enstrophy_rate,mean_continuous_enstrophy_rhs,enstrophy_budget_residual
0,1,0.005,3.162144516939324e-11,3.12482704558874e-10,0.005,1.2648890559109433e-08,1.2499654085662212e-07,6.24965409117748e-13,6.917845542722422e-12,1.2648265593700315e-08,1.249896230110794e-07,0.0,1.4736989927032754e-10,1.3562432198709417e-20,2.499930817278246e-05,3.162144516939323e-11,3,2.7527671261414998e-11,2.327352108194028e-28,8.484345953695851e-28,2.7527671261414998e-11,4.0937739079782334e-12,1.0000000000000002,3.25618844411206e-17,1.0465732133220663e-32,45,45,20239.34504945743,18068.709410275653,,,,,,,
100,101,0.505,3.209816900513434e-07,3.170059441950978e-06,0.005,1.2743876220309432e-06,1.2589788822825001e-05,6.340118883901956e-09,7.012081095346892e-08,1.2680475031470411e-06,1.2519668011871532e-05,1.46392777122651e-06,1.4932544417828812e-06,7.198003642435497e-19,0.0025179592697067116,3.209816900513433e-07,3,2.796024694602314e-07,1.0889277800270713e-16,3.958922474171653e-16,2.796024694602314e-07,4.137921960965919e-08,0.9999999985149691,1.4850308733006741e-09,2.9110616998095434e-19,45,45,201.003742258952,179.5442558583555,0.5,6.41900137212348e-07,6.403478843703708e-07,1.5522528419772463e-09,6.339493918492838e-06,6.322328817441305e-06,1.716510105153259e-08
200,201,1.0050000000000001,1.264994561777474e-06,1.2485904202403479e-05,0.005,2.5299110376660587e-06,2.4985839841929662e-05,2.4971808404806957e-08,2.759533496538711e-07,2.504939229261252e-06,2.470988649227579e-05,5.816949387137976e-06,5.874876361536255e-06,1.5910667441273414e-18,0.004997180045266226,1.2649945617774736e-06,3,1.1026066389602946e-06,6.7093692215908995e-15,2.4321108705012555e-14,1.1026066389602946e-06,1.6238786272893476e-07,0.999999977029335,2.29706651106633e-08,6.899264568800266e-17,45,45,101.31068590046777,90.54370919312795,0.5000000000000001,1.8880257434522608e-06,1.8864933662041465e-06,1.5323772481143016e-09,1.8631689520904998e-05,1.861477725207366e-05,1.69122688313364e-08
300,301,1.5050000000000001,2.822875816466927e-06,2.784637119520812e-05,0.005,3.7792527996638468e-06,3.7313575673240224e-05,5.5692742390416244e-08,6.149248150234484e-07,3.7235600572734304e-06,3.6698650858216775e-05,1.3001636038899154e-05,1.3087593733312983e-05,2.3132602598441506e-18,0.007462757023407384,2.822875816466926e-06,3,2.4620289669200926e-06,7.506642495292971e-14,2.712454071250408e-13,2.4620289669200926e-06,3.608461816306967e-07,0.9999998860721031,1.1392789679698977e-07,1.6808934378211555e-15,45,45,67.85898193288091,60.679899008169606,0.5,3.115762509378906e-06,3.114249643267341e-06,1.5128661115650243e-09,3.072093398560928e-05,3.0704268675246286e-05,1.66653103629959e-08
400,401,2.005,4.985548377723182e-06,4.915147347810937e-05,0.005,5.02244542751436e-06,4.957340333897094e-05,9.830294695621874e-08,1.0844996958717513e-06,4.924142480558141e-06,4.848890364309919e-05,2.296148007001755e-05,2.307490789279849e-05,2.8568892220943656e-18,0.009914784261708307,4.98554837772318e-06,3,4.350929316618073e-06,4.164270511629861e-13,1.4995518274883698e-12,4.350929316618073e-06,6.346153805468222e-07,0.9999996460611206,3.53938879369752e-07,1.607036528915774e-14,45,45,51.091504202322746,45.71085038352403,0.4999999999999998,4.325345122512512e-06,4.323851268915786e-06,1.4938535967257607e-09,4.261020456580252e-05,4.2593777250657983e-05,1.642731514453987e-08
500,501,2.505,7.744050418080202e-06,7.630268073376043e-05,0.005,6.259519874980664e-06,6.176570362759136e-05,1.5260536146752086e-07,1.6821863887427038e-06,6.106914513513143e-06,6.0083517238848656e-05,3.5640847029314314e-05,3.578119284556441e-05,3.891565329912791e-18,0.012353354259775799,7.7440504180802e-06,3,6.762437643393202e-06,1.571833467818255e-12,5.6393002434154825e-12,6.762437643393202e-06,9.815989769131766e-07,0.9999991494580027,8.505419974666574e-07,9.196429252976502e-14,45,45,41.017693053417936,36.717514801529305,0.5,5.51700408071404e-06,5.515528497035642e-06,1.475583678397954e-09,5.430241451130212e-05,5.428621044097392e-05,1.620407032820292e-08
600,601,3.005,1.1089533111391758e-05,0.00010920288436958522,0.005,7.490505131186268e-06,7.389082437509145e-05,2.1840576873917043e-07,2.405537027972296e-06,7.272099362447098e-06,7.148528734711916e-05,5.098491673170271e-05,5.11516362224163e-05,4.143511347080204e-18,0.014778557735420951,1.1089533111391756e-05,3,9.689753073415305e-06,4.649595679529214e-12,1.661572454005177e-11,9.689753073415305e-06,1.399739508296415e-06,0.9999982628340054,1.7371659944877516e-06,3.804216350316213e-13,45,45,34.296278777012304,30.716976507061457,0.5,6.690965386623112e-06,6.689506937980121e-06,1.4584486429911238e-09,6.580040727164957e-05,6.578440229298391e-05,1.600497866565396e-08
700,701,3.505,1.5013258245526883e-05,0.00014775635984524982,0.005,8.715427845066582e-06,8.594907419314813e-05,2.9551271969049966e-07,3.252147411621044e-06,8.419915125376082e-06,8.269692678152709e-05,6.893961423041234e-05,6.913217015509695e-05,5.946916772764276e-18,0.01719048340479405,1.5013258245526882e-05,3,1.3126142892514955e-05,1.1623717154435536e-11,4.1363997148178615e-11,1.3126142892514955e-05,1.8870147561249937e-06,0.9999968288580766,3.1711419234203678e-06,1.2583939112730667e-12,45,45,29.4925641583027,26.428406623273734,0.5,7.847450268270251e-06,7.84600724391159e-06,1.4430243586607518e-09,7.71069509513292e-05,7.709110706432312e-05,1.5843887006083794e-08
800,801,4.005,1.950659570814164e-05,0.00019186872636583005,0.005,9.934311972530834e-06,9.794071663092985e-05,3.837374527316601e-07,4.219656993034636e-06,9.550574519799173e-06,9.372105963789521e-05,8.945153158029924e-05,8.966939295178186e-05,8.342758406946562e-18,0.019589217767222358,1.950659570814164e-05,3,1.7064941437071724e-05,2.5690991985119436e-11,9.101606434692291e-11,1.7064941437071724e-05,2.4414335591241707e-06,0.9999946682193567,5.3317806433728416e-06,3.5363461644127697e-12,45,45,25.888304364905707,23.21058720948173,0.5,8.986674925229517e-06,8.985244822587628e-06,1.4301026418890117e-09,8.822473304116046e-05,8.820899320971115e-05,1.573983144931019e-08
900,901,4.505,2.4561020857986742e-05,0.00024144690408967658,0.005,1.1147178445777638e-05,0.00010986596475945115,4.828938081793531e-07,5.3057489114600125e-06,1.0664284637598285e-05,0.00010456021584799113,0.0001124678412555278,0.00011271048243552925,2.4194621550727316e-17,0.021974844895456102,2.4561020857986736e-05,3,2.149954887991064e-05,5.168489891167978e-11,1.8224053332185362e-10,2.149954887991064e-05,3.0610312856192127e-06,0.9999915814971274,8.418502872715518e-06,8.780552381836343e-12,45,45,23.084119649008688,20.70696646087964,0.5,1.0108850299690202e-05,1.0107429578698729e-05,1.420720991472698e-09,9.915635544769307e-05,9.914063774294317e-05,1.571770474989814e-08
