loop_index,completed_steps,physical_time,energy,enstrophy,forcing_rms,energy_injection_rate,enstrophy_injection_rate,viscous_energy_dissipation_rate,viscous_enstrophy_dissipation_rate,continuous_energy_rhs,continuous_enstrophy_rhs,interval_duration,observed_energy_rate,mean_continuous_energy_rhs,energy_budget_residual,mean_energy_injection_rate,mean_viscous_energy_dissipation_rate,normalized_energy_budget_residual,observed_enstrophy_rate,mean_continuous_enstrophy_rhs,enstrophy_budget_residual,mean_enstrophy_injection_rate,mean_viscous_enstrophy_dissipation_rate,normalized_enstrophy_budget_residual,forcing_sha256,all_numeric_values_finite
0,1,0.005,3.162144516939324e-11,3.12482704558874e-10,0.005,1.2648890559109433e-08,1.2499654085662212e-07,6.24965409117748e-13,6.917845542722422e-12,1.2648265593700315e-08,1.249896230110794e-07,,,,,,,,,,,,,,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
10,11,0.055,3.8243049727511904e-09,3.7789488773830836e-08,0.005,1.3910342875894964e-07,1.3745815406996614e-06,7.557897754766168e-11,8.365257071741904e-10,1.3902784978140198e-07,1.3737450149924872e-06,0.05,7.585367055163593e-08,7.583805768755115e-08,1.5612864084779612e-11,7.587615965902953e-08,3.810197147838971e-11,0.00020576771616987903,7.495401213854392e-07,7.493673190017833e-07,1.7280238365587807e-10,7.497890407781417e-07,4.217217763584564e-10,0.00023046800400888936,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
20,21,0.105,1.3931285852584415e-08,1.3765244925941147e-07,0.005,2.6549550499273155e-07,2.623475196962313e-06,2.753048985188229e-10,3.0468819753944695e-09,2.6522020009421275e-07,2.6204283149869187e-06,0.049999999999999996,2.0213961759666454e-07,2.0212402493780735e-07,1.5592658857186916e-11,2.022994668758406e-07,1.754419380332423e-10,7.707711294541753e-05,1.9972592097116128e-06,1.9970866649897027e-06,1.7254472191003225e-10,1.999028368830987e-06,1.94170384128433e-09,8.631429378410211e-05,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
30,31,0.155,3.0343208432471725e-08,2.9979783660012026e-07,0.005,3.918251538097714e-07,3.871677950229993e-06,5.995956732002405e-10,6.63534656374994e-09,3.9122555813657117e-07,3.865042603666243e-06,0.05,3.2823845159774615e-07,3.2822287911539196e-07,1.5572482354188763e-11,3.286603294012515e-07,4.3745028585953175e-10,4.738169155540762e-05,3.2429077468141755e-06,3.2427354593265806e-06,1.7228748759490518e-10,3.247576573596153e-06,4.841114269572205e-09,5.3051093235386084e-05,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
40,41,0.20500000000000002,5.30507291320145e-08,5.241222771447601e-07,0.005,5.180924097271595e-07,5.11919024058891e-06,1.0482445542895201e-09,1.1599283901778086e-08,5.1704416517287e-07,5.107590956687132e-06,0.05000000000000002,4.541504139908553e-07,4.541348616547206e-07,1.5552336134736056e-11,4.5495878176846547e-07,8.239201137448804e-10,3.4184055255033727e-05,4.486488810892795e-06,4.486316780176688e-06,1.7203071610705082e-10,4.495434095409451e-06,9.117315232764013e-09,3.826787635096717e-05,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
50,51,0.255,8.204451642556768e-08,8.105225509010452e-07,0.005,6.442973072249584e-07,6.366012507543256e-06,1.6210451018020905e-09,1.7936062927709774e-08,6.426762621231563e-07,6.348076444615546e-06,0.04999999999999999,5.798757458710637e-07,5.798602136480132e-07,1.553222305057697e-11,5.81194858476059e-07,1.3346448280458053e-09,2.6724639463094605e-05,5.728005475125705e-06,5.727833700651339e-06,1.7177447436630717e-10,5.742601374066083e-06,1.476767341474393e-08,2.9912310323688937e-05,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
60,61,0.305,1.1731525082500522e-07,1.1588955912813609e-06,0.005,7.704398807414286e-07,7.612145189932909e-06,2.3177911825627218e-09,2.5643057081414545e-08,7.681220895588659e-07,7.586502132851495e-06,0.04999999999999999,7.054146879887508e-07,7.053991758410111e-07,1.551214773974629e-11,7.073685939831935e-07,1.969418142182406e-09,2.19293701638595e-05,6.967460807606314e-06,6.967289288733521e-06,1.715188727935833e-10,6.9890788487380825e-06,2.178956000456216e-08,2.454098408469837e-05,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
70,71,0.355,1.588536248622972e-07,1.569138484845354e-06,0.005,8.965201646682788e-07,8.85758872585164e-06,3.138276969690708e-09,3.471764429758389e-08,8.933818876985881e-07,8.822871081554056e-06,0.04999999999999999,8.307674807458401e-07,8.30751988628727e-07,1.549211711307995e-11,8.334800227048537e-07,2.728034076126715e-09,1.8587268669984562e-05,8.204857871279862e-06,8.204686607202776e-06,1.7126407708631137e-10,8.234866957892276e-06,3.0180350689499214e-08,2.079743096786431e-05,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
80,81,0.405,2.0665034307190017e-07,2.0411484710393718e-06,0.005,1.0225381933459445e-06,1.0102343552565828e-05,4.082296942078744e-09,4.5157206999147926e-08,1.0184558964038657e-06,1.005718634556668e-05,0.050000000000000044,9.559343641920583e-07,9.559188920512268e-07,1.547214083151811e-11,9.595291790071116e-07,3.610286955884726e-09,1.6124721550967484e-05,9.440199723880349e-06,9.440028713560368e-06,1.710103199811932e-10,9.479966139208734e-06,3.993742564836591e-08,1.8039127721553966e-05,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
90,91,0.455,2.60696121972962e-07,2.5748229419327527e-06,0.005,1.1484940010588904e-06,1.134641010643369e-05,5.149645883865506e-09,5.695913209092061e-08,1.143344355175025e-06,1.1289450974342769e-05,0.04999999999999999,1.0809155780212365e-06,1.0809001257894453e-06,1.545223179113739e-11,1.0855160972024174e-06,4.615971412972125e-09,1.423491722597274e-05,1.067348941786762e-05,1.0673318659954724e-05,1.7075791289582112e-10,1.072437682949976e-05,5.1058169545034266e-08,1.5922408883107678e-05,504574DB2F92E127BAA6F699C7B21A4051435479A9B16A731501C6555F2FE6BB,True
