phase_bin,phase_center,mean_energy,std_energy,mean_helicity,std_helicity,mean_kurtosis,std_kurtosis,mean_slope,std_slope,n_samples
0,0.09817477042468103,3.162853212448269e+79,2.0668999935801184e+80,0.0,0.0,1.4999999999999967,7.127715825567264e-15,-1.4779292785083116,0.4040226431233288,3173
1,0.2945243112740431,3.5759579969128624e+79,2.355344645350334e+80,0.0,0.0,1.4999999999999962,7.200679740598805e-15,-1.4721511931889208,0.39964689405162285,3177
2,0.4908738521234052,4.1674139029916924e+79,2.7242508491944483e+80,0.0,0.0,1.4999999999999962,7.340764568269554e-15,-1.4749878954548112,0.39795075842136923,3175
3,0.6872233929727672,4.71915191530427e+79,3.106820314643809e+80,0.0,0.0,1.4999999999999962,7.592856252232673e-15,-1.472281138380253,0.39442829805208507,3174
4,0.8835729338221293,5.4893096493144456e+79,3.5901125752807835e+80,0.0,0.0,1.499999999999996,7.815068767243467e-15,-1.4732643395753662,0.3916294106034207,3178
5,1.0799224746714913,6.319993020800225e+79,4.1301566091675087e+80,0.0,0.0,1.499999999999996,8.073554992872046e-15,-1.4834086665672837,0.39545217610307426,3172
6,1.2762720155208536,7.141132223267828e+79,4.70433942294027e+80,0.0,0.0,1.499999999999996,8.035297757515013e-15,-1.4860078208832537,0.3967506046933264,3179
7,1.4726215563702154,8.331422786942996e+79,5.444520183484649e+80,0.0,0.0,1.499999999999996,8.170214981668981e-15,-1.4847808753351872,0.3933729696987181,3173
8,1.6689710972195777,9.419602291020248e+79,6.20432603717717e+80,0.0,0.0,1.499999999999996,8.319573130181484e-15,-1.4843175629420806,0.3966448872173351,3177
9,1.8653206380689396,1.599752278287819e+79,2.5835848632216e+80,0.0,0.0,1.4999999999999962,8.486612152289396e-15,-1.487814733234044,0.3981102313996509,3114
10,2.061670178918302,1.5188196613170797e+78,9.885593948495688e+78,0.0,0.0,1.4999999999999964,8.54368234496391e-15,-1.4839556608892808,0.39818730803753,3104
11,2.2580197197676637,1.7677759200099342e+78,1.1426773469529943e+79,0.0,0.0,1.4999999999999962,8.515915680655458e-15,-1.4840312821160415,0.3939304259173717,3106
12,2.454369260617026,2.003122015772928e+78,1.3035639490021257e+79,0.0,0.0,1.4999999999999962,8.526171169894364e-15,-1.4852103288552128,0.39561445081007257,3103
13,2.650718801466388,2.329961091685475e+78,1.5063179325629483e+79,0.0,0.0,1.4999999999999964,8.369318439219142e-15,-1.488898398327638,0.394559664940779,3107
14,2.84706834231575,2.6809351021313422e+78,1.732397019246407e+79,0.0,0.0,1.4999999999999962,8.35993726013496e-15,-1.4905343265875435,0.3915662049733371,3103
15,3.043417883165112,3.031062499938898e+78,1.973819209357845e+79,0.0,0.0,1.4999999999999962,8.276516341128845e-15,-1.4873755718058366,0.3897083836052788,3108
16,3.2397674240144743,3.536435582922486e+78,2.2844183309629422e+79,0.0,0.0,1.4999999999999964,8.254739344422636e-15,-1.495531969377578,0.3923535632082087,3102
17,3.436116964863836,3.9982194672480975e+78,2.603192873620339e+79,0.0,0.0,1.4999999999999964,8.10912231197843e-15,-1.4931488151712293,0.3923048013189532,3106
18,3.6324665057131984,4.6595835198208406e+78,3.010927418097737e+79,0.0,0.0,1.4999999999999964,8.008968057470104e-15,-1.5031916144610615,0.39609360453179804,3104
19,3.8288160465625602,5.273120832607389e+78,3.432700216649702e+79,0.0,0.0,1.4999999999999964,7.8919547827901e-15,-1.497367013141455,0.3920145180451518,3105
20,4.025165587411922,6.139438008935292e+78,3.9684875534410586e+79,0.0,0.0,1.4999999999999964,7.811580781226396e-15,-1.4987849171093162,0.39063612687050264,3106
21,4.221515128261284,6.95903131948548e+78,4.527954812484583e+79,0.0,0.0,1.4999999999999964,7.812416584900816e-15,-1.4976861969967372,0.3895092711277698,3102
22,4.417864669110647,8.089288352378287e+78,5.230579944889282e+79,0.0,0.0,1.4999999999999964,7.685376273643697e-15,-1.4952477042040844,0.38695052239470185,3108
23,4.614214209960009,9.315474390939968e+78,6.017495947239157e+79,0.0,0.0,1.4999999999999964,7.678974757120674e-15,-1.4985823505341993,0.389939350726553,3102
24,4.81056375080937,1.052514370834823e+79,6.855039985264072e+79,0.0,0.0,1.4999999999999964,7.58681743466822e-15,-1.493704772087409,0.38759820916088367,3108
25,5.006913291658733,1.2277987461336794e+79,7.932475272124228e+79,0.0,0.0,1.4999999999999962,7.497778556763295e-15,-1.4908378711765957,0.37773568542363295,3103
26,5.203262832508095,1.3890179919289254e+79,9.042239905333423e+79,0.0,0.0,1.4999999999999964,7.373251545394415e-15,-1.490205392969157,0.37858434299981936,3105
27,5.399612373357457,1.617739588320394e+79,1.0455225884299558e+80,0.0,0.0,1.4999999999999964,7.229783396982638e-15,-1.4894112697933741,0.37591515079778626,3105
28,5.595961914206819,1.8325209861779452e+79,1.1925425783160478e+80,0.0,0.0,1.4999999999999964,7.166806152523692e-15,-1.4899496152268832,0.3744834599226453,3103
29,5.792311455056181,2.1308381544897406e+79,1.3778120931246184e+80,0.0,0.0,1.4999999999999964,7.026031530260951e-15,-1.4957505979008312,0.37631827137978063,3108
30,5.988660995905543,2.4538336865629288e+79,1.5850974029247908e+80,0.0,0.0,1.4999999999999964,7.093838543950049e-15,-1.4946711408309796,0.3728154377246055,3102
31,6.1850105367549055,2.772478470079795e+79,1.8057188858719524e+80,0.0,0.0,1.4999999999999964,7.132624085892898e-15,-1.4969171389380784,0.3749329472709523,3108
