run,output_dir,saved_index,step,peak_k,masked_kmin,masked_kmax,fit_kmin,fit_kmax,fit_points,residual_energy,masked_slope,masked_r_squared
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,0,0,3.0,2.0,4.0,6,40,35,1.8463774199548515e-12,-0.9310278962707045,0.9222492203087669
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,1,1000,3.0,2.0,4.0,6,40,35,1.7051515504091106e-12,-0.9927834122520952,0.9301545949571235
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,2,2000,3.0,2.0,4.0,6,40,35,1.6024380581177335e-12,-1.0545486279886196,0.9356237458425438
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,3,3000,3.0,2.0,4.0,6,40,35,1.524372625011398e-12,-1.1163239851199516,0.9392484012293707
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,4,4000,3.0,2.0,4.0,6,40,35,1.4627680083210596e-12,-1.1781088855624864,0.9414755507518894
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,5,5000,3.0,2.0,4.0,6,40,35,1.4125966838134305e-12,-1.2399016222508388,0.9426439197996935
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,6,6000,3.0,2.0,4.0,6,40,35,1.370655277922464e-12,-1.3016993011735494,0.9430113536248955
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,7,7000,3.0,2.0,4.0,6,40,35,1.334831005574046e-12,-1.3634977676604076,0.9427751889721304
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,8,8000,3.0,2.0,4.0,6,40,35,1.3036850192864771e-12,-1.425291554655044,0.9420873475603065
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,9,9000,3.0,2.0,4.0,6,40,35,1.2762080613736409e-12,-1.487073875411834,0.9410655033360051
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,10,10000,3.0,2.0,4.0,6,40,35,1.2516727627184181e-12,-1.5488366869312005,0.9398013413199525
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,11,11000,3.0,2.0,4.0,6,40,35,1.2295417867765262e-12,-1.6105708523005522,0.9383666614550165
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,12,12000,3.0,2.0,4.0,6,40,35,1.209409161579643e-12,-1.6722664284409807,0.936817882404626
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,13,13000,3.0,2.0,4.0,6,40,35,1.1909618624685478e-12,-1.7339130989592513,0.9351993561938468
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,14,14000,3.0,2.0,4.0,6,40,35,1.1739540613320323e-12,-1.7955007586610803,0.9335458022299736
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,15,15000,3.0,2.0,4.0,6,40,35,1.1581894848047362e-12,-1.8570202365315907,0.9318840969058204
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,16,16000,3.0,2.0,4.0,6,40,35,1.1435090783175009e-12,-1.9184641190334168,0.9302346026310098
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,17,17000,3.0,2.0,4.0,6,40,35,1.129782213922157e-12,-1.9798276085548732,0.9286121797072386
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,18,18000,3.0,2.0,4.0,6,40,35,1.1169003112324895e-12,-2.0411093272314416,0.927026990561408
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,19,19000,3.0,2.0,4.0,6,40,35,1.1047721318046757e-12,-2.102311958490402,0.9254851763556005
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,20,20000,3.0,2.0,4.0,6,40,35,1.093320254102699e-12,-2.1634426100480266,0.9239894620211391
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,21,21000,3.0,2.0,4.0,6,40,35,1.0824783949229737e-12,-2.2245127825155855,0.9225397300918634
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,22,22000,3.0,2.0,4.0,6,40,35,1.0721893470056528e-12,-2.2855378356491447,0.9211335975093469
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,23,23000,3.0,2.0,4.0,6,40,35,1.0624033716375198e-12,-2.3465358606422004,0.9197670286736042
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,24,24000,3.0,2.0,4.0,6,40,35,1.0530769317384342e-12,-2.407525900123395,0.9184350111998865
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,25,25000,3.0,2.0,4.0,6,40,35,1.0441716829445174e-12,-2.46852552470644,0.9171322931586601
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,26,26000,3.0,2.0,4.0,6,40,35,1.0356536624773105e-12,-2.529547893981279,0.9158541230810345
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,27,27000,3.0,2.0,4.0,6,40,35,1.0274926313078455e-12,-2.5905985993768423,0.9145968579859838
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,28,28000,3.0,2.0,4.0,6,40,35,1.0196615363337177e-12,-2.651672757859615,0.9133582533578746
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,29,29000,3.0,2.0,4.0,6,40,35,1.0121360674341688e-12,-2.7127528860866827,0.9121372935384643
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,30,30000,3.0,2.0,4.0,6,40,35,1.0048942901812097e-12,-2.7738078844644747,0.9109336249443878
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,31,31000,3.0,2.0,4.0,6,40,35,9.979163393879757e-13,-2.8347929188512384,0.9097470020229026
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,32,32000,3.0,2.0,4.0,6,40,35,9.911841619659564e-13,-2.895649258879154,0.9085774788507238
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,33,33000,3.0,2.0,4.0,6,40,35,9.846813000390703e-13,-2.9563027042421064,0.9074270723400107
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,34,34000,3.0,2.0,4.0,6,40,35,9.783927071338104e-13,-3.016659753434716,0.9063030265824205
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,35,35000,3.0,2.0,4.0,6,40,35,9.723045917447218e-13,-3.07660244772022,0.9052216947665346
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,36,36000,3.0,2.0,4.0,6,40,35,9.66404283673393e-13,-3.135985276607734,0.9042109658477385
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,37,37000,3.0,2.0,4.0,6,40,35,9.606801194239048e-13,-3.1946391454617546,0.9033088752523735
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,38,38000,3.0,2.0,4.0,6,40,35,9.551213436316116e-13,-3.2523864152210966,0.9025570845225346
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,39,39000,3.0,2.0,4.0,6,40,35,9.497180240384393e-13,-3.309066574728541,0.9019901824869345
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,40,40000,3.0,2.0,4.0,6,40,35,9.44460977978042e-13,-3.3645653973766154,0.9016243642997007
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,41,41000,3.0,2.0,4.0,6,40,35,9.393417086483747e-13,-3.4188350663362437,0.9014505195023812
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,42,42000,3.0,2.0,4.0,6,40,35,9.343523497740017e-13,-3.4718931584515214,0.901435789111418
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,43,43000,3.0,2.0,4.0,6,40,35,9.29485617447831e-13,-3.5237963069861036,0.9015342152664535
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,44,44000,3.0,2.0,4.0,6,40,35,9.24734768145894e-13,-3.5745964357796383,0.9017029288590418
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,45,45000,3.0,2.0,4.0,6,40,35,9.200935620506778e-13,-3.624297320367088,0.9019175694462035
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,46,46000,3.0,2.0,4.0,6,40,35,9.15556230942561e-13,-3.6728324278831117,0.902180139368846
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,47,47000,3.0,2.0,4.0,6,40,35,9.111174500127365e-13,-3.720079924957198,0.9025141558390769
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,48,48000,3.0,2.0,4.0,6,40,35,9.067723130524012e-13,-3.765915322122465,0.9029468191449077
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,49,49000,3.0,2.0,4.0,6,40,35,9.02516310498255e-13,-3.810277040330852,0.9034866559730478
