row_type,run,N,dealias_rule,window_start_index,window_end_index,fit_kmin,fit_kmax,peak_mask_kmin,peak_mask_kmax,k,region,full_mode_count,active_dealiased_mode_count,window_mean_shell_sum_E,window_mean_shell_mean_E_full_count,window_mean_shell_mean_E_active_count,shell_sum_slope_k9_41,shell_sum_r2_k9_41,shell_mean_full_count_slope_k9_41,shell_mean_full_count_r2_k9_41,shell_mean_active_count_slope_k9_41,shell_mean_active_count_r2_k9_41,full_mode_count_slope_k9_41,full_mode_count_r2_k9_41,active_mode_count_slope_k9_41,active_mode_count_r2_k9_41,per_snapshot_shell_sum_slope_mean,per_snapshot_shell_sum_slope_std,per_snapshot_shell_mean_full_count_slope_mean,per_snapshot_shell_mean_full_count_slope_std,full_count_min,full_count_median,full_count_max,full_count_mean,active_count_min,active_count_median,active_count_max,active_count_mean,n_shells,full_sparse_lt_16,full_sparse_lt_32,full_sparse_lt_64,active_sparse_lt_16,active_sparse_lt_32,active_sparse_lt_64
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,1,low_k,8,8,6.828889301140292e-13,8.536111626425365e-14,8.536111626425365e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,2,low_k;masked_peak,12,12,5.493469006685141e-13,4.5778908389042844e-14,4.5778908389042844e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,3,low_k;masked_peak,16,16,0.0006367010238953966,3.9793813993462285e-05,3.9793813993462285e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,4,low_k;masked_peak,32,32,2.187511116630684e-13,6.8359722394708874e-15,6.8359722394708874e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,5,low_k,28,28,4.78696912725924e-14,1.7096318311640144e-15,1.7096318311640144e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,6,low_k,40,40,8.576630104750104e-14,2.144157526187526e-15,2.144157526187526e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,7,low_k,40,40,2.9925228986099285e-14,7.481307246524822e-16,7.481307246524822e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,8,low_k,48,48,4.723121304534172e-14,9.839836051112858e-16,9.839836051112858e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,9,fit_range,68,68,6.362816115967694e-14,9.357082523481903e-16,9.357082523481903e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,10,fit_range,56,56,3.467915086227886e-14,6.192705511121226e-16,6.192705511121226e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,11,fit_range,72,72,3.4080201373553344e-14,4.733361301882409e-16,4.733361301882409e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,12,fit_range,68,68,2.3416538789491765e-14,3.443608645513495e-16,3.443608645513495e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,13,fit_range,88,88,2.59957234487837e-14,2.9540594828163296e-16,2.9540594828163296e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,14,fit_range,88,88,1.8839638198008786e-14,2.140867977046453e-16,2.140867977046453e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,15,fit_range,84,84,1.5704638256764648e-14,1.8695997924719819e-16,1.8695997924719819e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,16,fit_range,112,112,1.5179292652196515e-14,1.3552939868032602e-16,1.3552939868032602e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shell,nu_5e-05_f_0.01_m_2,256,"abs(kx),abs(ky) < 2/3*kmax",38,43,9,41,2,4,17,fit_range,112,112,1.67628423809629e-14,1.4966823554431163e-16,1.4966823554431163e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
