run,output_dir,saved_index,step,fit_kmin,fit_kmax,fit_points,slope,r_squared
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,0,0,6,40,35,-0.9310278962706969,0.9222492203087663
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,1,1000,6,40,35,-0.9927834122520935,0.9301545949571237
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,2,2000,6,40,35,-1.0545486279886163,0.935623745842544
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,3,3000,6,40,35,-1.1163239851199471,0.9392484012293709
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,4,4000,6,40,35,-1.1781088855624862,0.941475550751889
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,5,5000,6,40,35,-1.239901622250832,0.9426439197996935
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,6,6000,6,40,35,-1.3016993011735487,0.9430113536248957
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,7,7000,6,40,35,-1.3634977676604012,0.9427751889721303
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,8,8000,6,40,35,-1.4252915546550382,0.9420873475603067
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,9,9000,6,40,35,-1.487073875411833,0.9410655033360051
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,10,10000,6,40,35,-1.5488366869311954,0.9398013413199525
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,11,11000,6,40,35,-1.6105708523005509,0.9383666614550165
nu_7.5e-05_f_0.003_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.003_m_2,12,12000,6,40,35,-1.672266428440975,0.9368178824046259
