run,start_index,end_index,window_label,window_length,start_step,end_step,fit_kmin,fit_kmax,fit_label,fit_range_width,fit_points,slope,distance_from_minus3,r_squared,compensated_mean,compensated_std,compensated_cv,cv_points,per_snapshot_slope_mean,per_snapshot_slope_std,per_snapshot_r2_mean,per_snapshot_cv_mean,per_snapshot_cv_std,residual_energy_start,residual_energy_end,residual_energy_change_pct,robustness_class
nu_5e-05_f_0.01_m_2,36,41,36:41,6,36000,41000,8,40,k=8:40,32,33,-2.764638753128494,0.23536124687150606,0.958395052922218,49.22360674175564,12.27018269868221,0.2492743525084601,33,-2.7666284032597184,0.057490757780279005,0.9568937651620651,0.2553755884277635,0.004954643653934754,1.2855561169490683e-12,1.2286090527667554e-12,-4.429761052941188,moderately_near_-3
nu_5e-05_f_0.01_m_2,36,41,36:41,6,36000,41000,9,41,k=9:41,32,33,-2.9355842638826064,0.0644157361173936,0.9641926866001533,49.58339109489479,11.533115140349759,0.2326003705207898,33,-2.937480322490011,0.057315039260531296,0.9626932393957278,0.23920287988638045,0.0023383302788032917,1.2855561169490683e-12,1.2286090527667554e-12,-4.429761052941188,near_-3
nu_5e-05_f_0.01_m_2,36,41,36:41,6,36000,41000,10,42,k=10:42,32,33,-3.02606839785283,0.026068397852830216,0.9587839610440434,49.32496054256863,11.894973127354731,0.24115524871204067,33,-3.0280421791722176,0.05798576980636281,0.9572178438654243,0.24768834351362812,0.0023801165357333173,1.2855561169490683e-12,1.2286090527667554e-12,-4.429761052941188,near_-3
nu_5e-05_f_0.01_m_2,36,41,36:41,6,36000,41000,9,35,k=9:35,26,27,-2.6722288435150925,0.3277711564849075,0.9687591117471772,52.13519125596128,10.930736306255566,0.20966138308748825,27,-2.6747353304381645,0.07644537237598674,0.966775334939126,0.2167716952223664,0.0049319305592942595,1.2855561169490683e-12,1.2286090527667554e-12,-4.429761052941188,sensitive
nu_5e-05_f_0.01_m_2,36,41,36:41,6,36000,41000,12,40,k=12:40,28,29,-3.10322064779424,0.1032206477942399,0.9666965178437156,51.83687366971241,10.28915270136903,0.19849099633068426,29,-3.1053414571063427,0.04928031313438157,0.9646544931379947,0.2062545339965541,0.004382023796418508,1.2855561169490683e-12,1.2286090527667554e-12,-4.429761052941188,moderately_near_-3
nu_5e-05_f_0.01_m_2,37,42,37:42,6,37000,42000,8,40,k=8:40,32,33,-2.7990486798604253,0.20095132013957473,0.9600789918408383,47.959918429761224,11.869339399339415,0.24748456185809464,33,-2.8011499264139563,0.05483519779412774,0.9583742275361667,0.2547514476752431,0.004217319394429887,1.2741224778703717e-12,1.2172580485476462e-12,-4.463026931113511,moderately_near_-3
nu_5e-05_f_0.01_m_2,37,42,37:42,6,37000,42000,9,41,k=9:41,32,33,-2.968926658687067,0.031073341312933156,0.9657205961268374,48.27646659438733,11.223089314458647,0.2324753675274871,33,-2.9708768200358704,0.05340648047258732,0.9640256746721824,0.24022404397363983,0.004115399283115427,1.2741224778703717e-12,1.2172580485476462e-12,-4.463026931113511,near_-3
nu_5e-05_f_0.01_m_2,37,42,37:42,6,37000,42000,10,42,k=10:42,32,33,-3.0588006241864427,0.05880062418644272,0.9604308943838913,47.97268972180096,11.636475581798836,0.24256458516877144,33,-3.060545492690776,0.05308754068141058,0.958667543614129,0.2501351425286837,0.0045253164933703885,1.2741224778703717e-12,1.2172580485476462e-12,-4.463026931113511,near_-3
nu_5e-05_f_0.01_m_2,37,42,37:42,6,37000,42000,9,35,k=9:35,26,27,-2.7139691184230506,0.28603088157694945,0.9692869768007287,50.823337416870544,10.560474513803442,0.20778789923185853,27,-2.7165325290430835,0.0702980385877287,0.9669657577118503,0.2162213776311027,0.004000955095133916,1.2741224778703717e-12,1.2172580485476462e-12,-4.463026931113511,sensitive
nu_5e-05_f_0.01_m_2,37,42,37:42,6,37000,42000,12,40,k=12:40,28,29,-3.133221777738386,0.13322177773838595,0.9673169833166979,50.381152807098665,10.183271147679477,0.202124615660733,29,-3.1354848290750144,0.0446995295901914,0.9649994508596352,0.21102408482592652,0.008855349959216953,1.2741224778703717e-12,1.2172580485476462e-12,-4.463026931113511,moderately_near_-3
